"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","121,03","120,40","121,17","119,16","88,11M","-0,76%"
"11.03.2021","121,96","122,54","123,21","121,26","103,03M","1,65%"
"10.03.2021","119,98","121,69","122,17","119,45","111,94M","-0,91%"
"09.03.2021","121,08","119,03","122,06","118,79","129,53M","4,06%"
"08.03.2021","116,36","120,93","121,00","116,21","154,38M","-4,17%"
"05.03.2021","121,42","120,98","121,93","117,57","153,77M","1,07%"
"04.03.2021","120,13","121,75","123,60","118,62","178,16M","-1,58%"
"03.03.2021","122,06","124,81","125,71","121,84","112,97M","-2,45%"
"02.03.2021","125,12","128,41","128,72","125,01","102,26M","-2,09%"
"01.03.2021","127,79","123,75","127,93","122,79","116,31M","5,39%"
"26.02.2021","121,26","122,59","124,85","121,20","164,56M","0,22%"
"25.02.2021","120,99","124,68","126,46","120,54","148,20M","-3,48%"
"24.02.2021","125,35","124,94","125,56","122,23","111,04M","-0,41%"
"23.02.2021","125,86","123,76","126,71","118,39","158,27M","-0,11%"
"22.02.2021","126,00","128,01","129,72","125,60","103,92M","-2,98%"
"19.02.2021","129,87","130,24","130,71","128,80","87,67M","0,12%"
"18.02.2021","129,71","129,20","129,99","127,41","96,86M","-0,86%"
"17.02.2021","130,84","131,25","132,22","129,47","98,09M","-1,76%"
"16.02.2021","133,19","135,49","136,01","132,79","80,58M","-1,61%"
"12.02.2021","135,37","134,35","135,53","133,69","60,15M","0,18%"
"11.02.2021","135,13","135,90","136,39","133,77","64,28M","-0,19%"
"10.02.2021","135,39","136,48","136,99","134,40","73,05M","-0,46%"
"09.02.2021","136,01","136,62","137,88","135,85","76,77M","-0,66%"
"08.02.2021","136,91","136,03","136,96","134,92","71,30M","0,11%"
"05.02.2021","136,76","137,35","137,42","135,86","75,69M","-0,46%"
"04.02.2021","137,39","136,30","137,40","134,59","84,18M","2,58%"
"03.02.2021","133,94","135,76","135,77","133,61","89,88M","-0,78%"
"02.02.2021","134,99","135,73","136,31","134,61","83,31M","0,63%"
"01.02.2021","134,14","133,75","135,38","130,93","106,24M","1,65%"
"29.01.2021","131,96","135,83","136,74","130,21","177,52M","-3,74%"
