"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","444,30","443,14","445,73","438,80","2,18M","-1,50%"
"11.03.2021","451,06","448,50","454,01","447,36","2,76M","3,22%"
"10.03.2021","437,01","444,75","448,27","436,89","2,75M","-0,49%"
"09.03.2021","439,18","436,90","442,38","436,17","3,93M","4,27%"
"08.03.2021","421,20","439,99","440,56","420,78","3,89M","-4,45%"
"05.03.2021","440,83","444,88","444,95","423,71","4,61M","0,40%"
"04.03.2021","439,06","445,81","457,46","437,83","4,49M","-2,09%"
"03.03.2021","448,45","463,28","464,60","448,09","2,81M","-3,89%"
"02.03.2021","466,59","472,61","472,61","463,50","2,21M","-0,63%"
"01.03.2021","469,57","466,48","470,45","462,86","2,36M","2,15%"
"26.02.2021","459,67","462,80","467,32","456,01","3,15M","0,11%"
"25.02.2021","459,16","471,80","476,30","456,05","3,25M","-3,66%"
"24.02.2021","476,62","463,49","477,35","460,29","3,39M","1,89%"
"23.02.2021","467,80","460,26","471,44","450,50","4,16M","0,10%"
"22.02.2021","467,33","470,60","472,00","466,87","2,51M","-2,46%"
"19.02.2021","479,12","487,16","488,65","476,10","2,72M","-1,89%"
"18.02.2021","488,37","486,18","489,72","480,40","1,80M","-0,58%"
"17.02.2021","491,23","495,41","495,41","485,67","2,11M","-2,08%"
"16.02.2021","501,64","500,00","506,50","498,19","1,85M","0,56%"
"12.02.2021","498,84","495,16","499,36","491,76","1,45M","0,45%"
"11.02.2021","496,62","494,62","497,00","491,19","1,61M","0,80%"
"10.02.2021","492,67","499,34","499,34","490,57","1,76M","-0,68%"
"09.02.2021","496,05","493,94","497,83","492,01","1,57M","0,46%"
"08.02.2021","493,76","495,38","497,59","489,42","1,73M","0,33%"
"05.02.2021","492,12","490,92","495,10","488,00","1,68M","0,56%"
"04.02.2021","489,38","484,84","489,78","482,21","2,01M","1,55%"
"03.02.2021","481,92","487,06","488,49","479,43","2,15M","-0,62%"
"02.02.2021","484,93","474,29","487,34","472,68","3,02M","3,18%"
"01.02.2021","470,00","462,28","473,47","459,83","2,55M","2,45%"
"29.01.2021","458,77","462,17","465,00","455,11","3,06M","-1,48%"
"28.01.2021","465,67","461,04","475,02","460,06","3,00M","1,23%"
"27.01.2021","460,00","471,79","473,57","455,11","3,59M","-3,42%"
"26.01.2021","476,28","474,52","477,20","467,94","2,36M","0,60%"
"25.01.2021","473,44","475,00","477,60","464,37","2,70M","0,21%"
"22.01.2021","472,44","472,50","476,35","470,61","2,53M","0,09%"
"21.01.2021","472,02","470,26","474,69","466,10","2,77M","0,49%"
"20.01.2021","469,73","462,73","472,39","458,77","3,86M","2,90%"
"19.01.2021","456,50","461,35","461,35","453,38","4,42M","-0,34%"
"15.01.2021","458,08","462,50","467,88","457,49","3,20M","-1,12%"
"14.01.2021","463,27","473,11","473,24","462,28","3,51M","-1,86%"
"13.01.2021","472,05","472,32","477,55","469,41","2,11M","0,08%"
"12.01.2021","471,65","474,65","474,88","464,02","2,96M","-0,55%"
"11.01.2021","474,24","481,94","481,94","471,71","2,38M","-2,24%"
"08.01.2021","485,10","480,00","485,54","477,21","2,27M","1,54%"
"07.01.2021","477,74","470,25","479,57","468,87","2,90M","2,45%"
"06.01.2021","466,31","472,67","475,75","466,00","4,16M","-3,99%"
"05.01.2021","485,69","485,62","486,08","479,25","2,01M","0,07%"
