"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","35,89","35,34","36,12","34,72","33,56M","1,79%"
"11.03.2021","35,26","35,07","35,42","34,94","20,02M","0,64%"
"10.03.2021","35,04","34,45","35,30","34,24","29,67M","2,08%"
"09.03.2021","34,32","34,56","34,70","33,78","46,36M","-1,00%"
"05.03.2021","34,67","34,70","35,03","34,11","35,09M","0,62%"
"04.03.2021","34,46","35,30","35,50","34,35","54,97M","-2,26%"
"03.03.2021","35,25","35,50","35,72","35,12","27,21M","0,16%"
"02.03.2021","35,19","35,00","35,90","34,95","29,33M","-0,34%"
"01.03.2021","35,31","35,59","35,66","34,93","25,10M","0,84%"
"26.02.2021","35,02","35,50","35,63","34,61","42,85M","-1,92%"
"25.02.2021","35,71","35,84","36,30","35,42","43,28M","0,01%"
"24.02.2021","35,70","35,97","36,06","35,31","48,41M","-1,63%"
"22.02.2021","36,29","36,70","37,01","36,03","28,96M","-1,00%"
"20.02.2021","36,66","36,60","36,67","36,30","7,37M","0,42%"
"19.02.2021","36,50","35,26","36,69","34,60","65,50M","3,14%"
"18.02.2021","35,39","35,63","36,10","35,28","29,86M","-0,72%"
"17.02.2021","35,65","35,73","36,45","35,20","63,11M","-0,43%"
"16.02.2021","35,80","35,88","35,93","35,35","37,88M","0,24%"
"15.02.2021","35,72","35,60","35,97","35,23","29,31M","1,61%"
"12.02.2021","35,15","35,00","35,15","33,83","59,66M","0,76%"
"11.02.2021","34,88","35,40","35,62","34,72","35,42M","-1,75%"
"10.02.2021","35,51","35,60","36,30","34,71","70,02M","-0,41%"
"09.02.2021","35,65","35,80","36,13","35,52","57,75M","0,22%"
"08.02.2021","35,57","35,13","35,94","34,87","75,71M","1,66%"
"05.02.2021","34,99","34,09","35,06","33,86","66,69M","3,03%"
"04.02.2021","33,96","33,65","34,10","33,31","42,45M","0,93%"
"03.02.2021","33,65","33,60","34,00","33,16","61,34M","1,00%"
"02.02.2021","33,32","32,65","33,89","32,56","114,38M","2,59%"
"01.02.2021","32,47","31,60","32,69","31,44","56,48M","3,23%"
"29.01.2021","31,46","32,20","32,20","31,40","49,05M","-2,76%"
"28.01.2021","32,35","31,50","32,73","31,00","67,90M","2,45%"
"27.01.2021","31,58","33,00","33,25","31,50","81,19M","-3,77%"
"26.01.2021","32,81","32,60","33,08","32,26","51,08M","0,79%"
"25.01.2021","32,56","31,80","32,73","31,66","96,33M","3,21%"
"22.01.2021","31,54","31,60","31,85","30,63","77,92M","-0,50%"
"21.01.2021","31,70","31,80","32,53","31,13","89,80M","-0,32%"
"20.01.2021","31,80","31,17","32,10","31,01","65,51M","2,50%"
"19.01.2021","31,02","31,07","31,56","30,71","48,69M","0,02%"
"18.01.2021","31,02","31,08","31,20","30,01","57,66M","0,20%"
"15.01.2021","30,95","30,89","31,63","30,74","51,36M","-0,02%"
"14.01.2021","30,96","30,73","31,25","30,31","50,94M","0,54%"
"13.01.2021","30,79","31,10","31,40","30,56","56,65M","-1,23%"
"12.01.2021","31,18","30,31","31,27","30,31","97,06M","3,12%"
"11.01.2021","30,24","29,31","30,47","29,00","112,38M","2,71%"
"08.01.2021","29,44","29,43","29,67","29,30","36,26M","0,54%"
"06.01.2021","29,28","29,66","29,73","29,17","27,06M","-1,10%"
"05.01.2021","29,60","29,00","29,80","28,75","30,57M","1,99%"
"04.01.2021","29,03","28,90","29,38","28,82","29,78M","1,10%"
"30.12.2020","28,71","28,99","29,10","28,64","23,71M","-0,52%"
"29.12.2020","28,86","29,02","29,25","28,73","36,61M","-0,24%"
"28.12.2020","28,93","28,45","29,22","28,08","70,72M","1,93%"
"25.12.2020","28,38","28,46","28,53","28,20","11,56M","-0,21%"
"24.12.2020","28,44","28,90","29,00","28,20","21,86M","-1,25%"
"23.12.2020","28,80","28,63","28,94","28,42","29,07M","0,46%"
"22.12.2020","28,67","27,80","28,75","27,43","56,90M","2,72%"
"21.12.2020","27,91","28,42","28,86","27,08","71,68M","-1,35%"
"18.12.2020","28,29","28,84","28,84","28,16","41,05M","-1,83%"
"17.12.2020","28,82","29,05","29,49","28,60","77,73M","-0,41%"
"16.12.2020","28,94","28,31","29,10","28,31","104,94M","1,97%"
"15.12.2020","28,38","27,32","28,44","27,04","102,63M","3,92%"
"14.12.2020","27,31","27,80","28,12","27,15","96,59M","-1,66%"
"11.12.2020","27,77","28,50","28,56","27,53","58,55M","-2,44%"
"10.12.2020","28,47","28,58","29,15","27,84","127,52M","0,24%"
"09.12.2020","28,40","29,25","29,42","28,32","107,09M","-2,74%"
"08.12.2020","29,20","29,35","29,37","28,81","45,82M","-0,27%"
"07.12.2020","29,28","29,95","30,03","29,06","40,48M","-1,73%"
"04.12.2020","29,79","30,18","30,64","29,57","80,87M","-1,00%"
"03.12.2020","30,10","30,00","30,75","29,41","165,03M","0,04%"
"02.12.2020","30,08","30,31","30,75","29,53","73,81M","-0,83%"
"01.12.2020","30,34","30,56","30,89","30,10","45,09M","-1,26%"
"30.11.2020","30,72","30,80","31,16","30,13","47,50M","-0,54%"
"27.11.2020","30,89","30,15","31,19","30,15","75,00M","2,62%"
"26.11.2020","30,10","31,40","31,40","29,75","121,69M","-3,57%"
"25.11.2020","31,22","33,49","33,49","30,00","326,34M","-5,83%"
"24.11.2020","33,15","33,08","33,89","32,56","159,28M","-1,40%"
"23.11.2020","33,62","33,58","34,48","32,23","181,86M","0,57%"
"20.11.2020","33,43","32,45","33,47","32,23","113,34M","3,34%"
"19.11.2020","32,35","32,30","32,69","32,02","51,19M","0,09%"
"18.11.2020","32,32","31,80","32,60","30,81","141,62M","1,84%"
"17.11.2020","31,74","32,00","32,00","31,11","66,15M","-1,12%"
"16.11.2020","32,10","32,75","33,35","31,10","145,40M","-1,18%"
"13.11.2020","32,48","31,30","33,70","31,01","233,87M","3,18%"
"12.11.2020","31,48","29,50","31,95","28,92","132,36M","6,72%"
"11.11.2020","29,50","28,34","29,56","28,21","81,90M","4,60%"
"10.11.2020","28,20","27,50","28,22","27,04","60,22M","3,18%"
"09.11.2020","27,33","26,95","28,35","26,73","155,48M","1,98%"
"06.11.2020","26,80","26,35","26,84","26,23","58,61M","2,05%"
"05.11.2020","26,26","26,00","26,61","25,90","54,32M","2,19%"
"03.11.2020","25,70","26,05","26,57","25,44","76,68M","0,41%"
"02.11.2020","25,59","25,00","26,00","24,73","46,62M","1,44%"
"30.10.2020","25,23","25,40","25,56","24,92","35,91M","-1,23%"
"29.10.2020","25,55","24,84","25,79","24,72","62,04M","3,52%"
"28.10.2020","24,68","24,59","25,27","23,89","66,04M","0,15%"
"27.10.2020","24,64","25,35","25,35","24,53","28,22M","-2,18%"
"26.10.2020","25,19","25,71","25,71","25,03","17,20M","-1,49%"
"23.10.2020","25,57","25,35","25,71","25,26","21,39M","0,27%"
"22.10.2020","25,50","25,45","25,89","25,28","28,65M","-0,14%"
"21.10.2020","25,53","25,95","25,95","25,11","37,51M","-1,06%"
"20.10.2020","25,81","25,10","25,85","24,95","46,46M","3,11%"
"19.10.2020","25,03","25,27","25,27","24,85","29,91M","0,63%"
"16.10.2020","24,87","25,71","25,82","24,77","87,68M","-3,03%"
"15.10.2020","25,65","26,30","26,90","25,02","147,47M","-2,65%"
"14.10.2020","26,35","24,97","26,49","24,66","124,21M","5,51%"
"13.10.2020","24,97","24,45","25,23","24,45","73,33M","2,03%"
"12.10.2020","24,48","23,42","24,63","23,42","68,12M","4,11%"
"09.10.2020","23,51","23,75","23,83","23,32","33,43M","-1,00%"
"08.10.2020","23,75","23,59","24,12","23,52","43,58M","1,03%"
"07.10.2020","23,50","23,22","23,86","23,22","39,72M","1,97%"
"06.10.2020","23,05","23,27","23,53","22,76","47,25M","-0,62%"
