"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","231,87","233,55","233,91","229,71","17,78M","-3,71%"
"11.03.2021","240,80","236,82","241,71","235,06","15,16M","2,77%"
"10.03.2021","234,30","240,99","241,21","233,67","10,49M","-1,61%"
"09.03.2021","238,14","233,49","238,74","233,49","15,29M","5,05%"
"08.03.2021","226,69","228,41","230,72","226,54","17,14M","-3,08%"
"05.03.2021","233,89","235,42","236,43","228,34","15,99M","1,47%"
"04.03.2021","230,50","234,57","236,31","228,40","22,96M","-2,44%"
"03.03.2021","236,27","237,67","239,57","234,54","13,57M","0,79%"
"02.03.2021","234,42","238,59","241,20","234,39","14,64M","-3,01%"
"01.03.2021","241,69","241,19","242,77","239,26","14,04M","1,65%"
"28.02.2021","237,76","237,76","237,76","237,76","-","0,00%"
"26.02.2021","237,76","244,63","244,90","237,65","17,47M","-1,01%"
"25.02.2021","240,18","250,02","250,30","240,10","17,97M","-4,06%"
"24.02.2021","250,34","252,00","252,00","248,10","12,83M","-0,95%"
"23.02.2021","252,75","247,98","254,90","241,69","15,98M","-0,49%"
"22.02.2021","254,00","257,99","259,39","254,00","14,40M","-3,64%"
"19.02.2021","263,59","266,05","269,39","262,85","14,72M","-0,35%"
"18.02.2021","264,51","264,96","266,14","262,33","15,38M","-2,33%"
"17.02.2021","270,83","270,89","272,32","267,81","12,99M","0,05%"
"16.02.2021","270,70","271,00","274,29","270,40","16,57M","1,06%"
"12.02.2021","267,85","269,09","270,25","265,68","9,36M","-0,40%"
"11.02.2021","268,93","268,75","274,26","267,20","15,00M","0,43%"
"10.02.2021","267,79","268,70","270,40","264,60","12,86M","0,49%"
"09.02.2021","266,49","263,00","267,20","262,54","12,30M","1,49%"
"08.02.2021","262,59","264,98","265,00","261,82","10,52M","-1,16%"
"05.02.2021","265,67","264,61","266,45","263,21","11,02M","-0,48%"
"04.02.2021","266,96","269,50","269,70","265,57","16,76M","1,34%"
"03.02.2021","263,43","264,79","268,14","261,33","29,18M","3,51%"
"02.02.2021","254,50","264,45","264,45","254,20","30,53M","-3,85%"
"01.02.2021","264,69","257,74","264,99","255,33","15,29M","4,28%"
"29.01.2021","253,83","256,03","258,90","252,30","14,69M","-2,66%"
"28.01.2021","260,76","259,39","261,55","257,47","10,24M","0,20%"
