"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","23,50","23,27","23,52","21,20","1,90M","9,97%"
"16.03.2020","19,83","21,25","21,25","19,74","2,22M","-15,62%"
"17.03.2020","19,70","20,04","20,31","18,50","2,80M","-0,66%"
"18.03.2020","14,64","18,16","18,53","12,28","3,83M","-25,69%"
"19.03.2020","16,00","14,22","16,34","13,88","5,57M","9,29%"
"20.03.2020","16,40","16,31","17,56","15,88","5,55M","2,50%"
"23.03.2020","15,00","16,31","16,98","14,47","3,80M","-8,54%"
"24.03.2020","17,04","16,14","18,44","16,01","2,45M","13,60%"
"25.03.2020","19,39","17,40","21,19","17,05","2,78M","13,79%"
"26.03.2020","20,91","19,14","22,28","19,12","3,26M","7,84%"
"27.03.2020","18,93","19,34","19,35","18,18","1,79M","-9,47%"
"30.03.2020","19,49","18,71","19,76","17,99","1,75M","2,96%"
"31.03.2020","19,80","19,50","20,48","19,34","1,66M","1,59%"
"01.04.2020","17,37","18,37","18,55","16,74","2,15M","-12,27%"
"02.04.2020","18,17","17,23","18,27","17,06","1,84M","4,61%"
"03.04.2020","16,29","18,28","18,35","16,18","2,38M","-10,35%"
"06.04.2020","20,12","17,46","20,15","17,41","2,11M","23,51%"
"07.04.2020","20,53","21,85","22,59","20,24","1,77M","2,04%"
"08.04.2020","22,90","21,26","23,21","20,60","1,58M","11,54%"
"09.04.2020","22,92","23,94","25,88","22,75","1,91M","0,09%"
"13.04.2020","22,50","22,62","22,94","21,46","1,21M","-1,83%"
"14.04.2020","23,12","23,13","23,54","22,53","1,23M","2,76%"
"15.04.2020","21,13","21,96","22,02","20,75","1,36M","-8,61%"
"16.04.2020","21,45","21,02","21,50","20,03","1,92M","1,51%"
"17.04.2020","23,27","22,67","23,40","22,35","1,30M","8,48%"
"20.04.2020","23,24","22,17","23,64","21,80","1,93M","-0,13%"
"21.04.2020","22,47","22,11","22,96","21,76","827,64K","-3,31%"
"22.04.2020","22,80","23,53","23,59","22,47","730,51K","1,47%"
"23.04.2020","23,42","23,39","24,75","23,09","1,50M","2,72%"
"24.04.2020","23,11","23,70","23,81","22,94","2,43M","-1,32%"
"27.04.2020","24,53","23,29","24,93","23,06","4,05M","6,14%"
"28.04.2020","24,96","25,18","26,10","24,95","2,50M","1,75%"
"29.04.2020","27,20","26,14","27,36","25,74","1,88M","8,97%"
"30.04.2020","25,79","26,56","26,91","25,29","1,47M","-5,18%"
"01.05.2020","23,78","25,05","25,29","23,64","1,17M","-7,79%"
"04.05.2020","23,59","23,11","23,63","22,30","1,22M","-0,80%"
"05.05.2020","24,11","24,40","24,90","23,96","1,46M","2,20%"
"06.05.2020","23,63","24,17","24,61","23,40","1,37M","-1,99%"
"07.05.2020","25,75","25,65","26,61","24,86","1,86M","8,97%"
"08.05.2020","27,08","26,40","27,27","26,29","1,13M","5,17%"
"11.05.2020","26,38","26,55","26,83","26,04","1,54M","-2,58%"
"12.05.2020","25,20","26,89","26,97","25,18","960,56K","-4,47%"
"13.05.2020","23,64","24,93","25,05","23,20","1,37M","-6,19%"
"14.05.2020","24,55","23,16","24,60","22,38","1,28M","3,85%"
"15.05.2020","25,27","24,42","25,63","24,42","919,73K","2,93%"
"18.05.2020","27,66","27,00","27,96","26,96","1,23M","9,46%"
"19.05.2020","26,90","27,61","27,80","26,90","2,39M","-2,75%"
"20.05.2020","26,42","26,63","27,05","25,59","4,04M","-1,78%"
"21.05.2020","26,75","26,74","27,17","26,01","1,37M","1,25%"
"22.05.2020","26,23","26,76","26,76","26,00","596,81K","-1,94%"
"26.05.2020","28,42","27,84","28,50","27,70","1,47M","8,35%"
"27.05.2020","29,40","29,12","29,72","28,54","1,63M","3,45%"
"28.05.2020","28,07","29,52","29,52","27,95","1,39M","-4,52%"
"29.05.2020","28,06","28,02","28,60","27,42","1,41M","-0,04%"
"01.06.2020","28,09","27,97","28,39","27,61","1,03M","0,11%"
"02.06.2020","28,35","28,36","28,75","28,09","744,49K","0,93%"
"03.06.2020","29,73","29,00","29,83","28,85","710,62K","4,87%"
"04.06.2020","30,05","29,46","30,11","28,97","1,28M","1,08%"
