"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","15,15","14,65","15,15","13,40","2,05M","12,14%"
"16.03.2020","12,79","13,25","14,51","12,59","1,95M","-15,58%"
"17.03.2020","13,29","13,23","13,67","12,55","2,98M","3,91%"
"18.03.2020","11,49","12,27","12,93","10,86","2,42M","-13,54%"
"19.03.2020","12,49","11,60","13,02","10,76","2,89M","8,70%"
"20.03.2020","13,11","12,76","13,94","12,30","4,06M","4,96%"
"23.03.2020","13,35","13,41","14,20","13,14","2,68M","1,83%"
"24.03.2020","14,23","14,16","14,75","13,70","2,35M","6,59%"
"25.03.2020","13,59","14,01","14,58","13,10","2,06M","-4,50%"
"26.03.2020","14,69","13,63","14,82","13,40","2,41M","8,09%"
"27.03.2020","13,48","13,81","14,32","13,42","1,83M","-8,24%"
"30.03.2020","14,69","13,48","14,80","13,05","1,76M","8,98%"
"31.03.2020","15,79","14,83","16,29","14,67","2,76M","7,49%"
"01.04.2020","15,49","15,19","16,30","14,94","2,67M","-1,90%"
"02.04.2020","15,72","15,46","16,40","15,12","1,62M","1,48%"
"03.04.2020","14,63","15,34","15,69","14,29","1,60M","-6,93%"
"06.04.2020","15,71","15,33","15,86","15,30","1,08M","7,38%"
"07.04.2020","15,94","16,39","16,81","15,72","1,23M","1,46%"
"08.04.2020","16,31","16,12","16,61","15,68","1,01M","2,32%"
"09.04.2020","16,90","16,89","17,66","16,71","2,22M","3,62%"
"13.04.2020","16,09","16,77","17,09","15,99","1,30M","-4,79%"
"14.04.2020","16,39","16,58","16,98","16,18","911,00K","1,86%"
"15.04.2020","15,09","15,46","15,86","14,69","1,03M","-7,93%"
"16.04.2020","15,42","15,07","15,42","14,67","1,25M","2,19%"
"17.04.2020","16,03","16,14","16,43","15,82","858,43K","3,96%"
"20.04.2020","15,43","15,40","15,91","15,22","789,35K","-3,74%"
"21.04.2020","15,13","14,81","15,32","14,70","948,79K","-1,94%"
"22.04.2020","15,12","15,63","15,63","14,91","1,00M","-0,07%"
"23.04.2020","15,43","15,26","16,03","15,25","1,09M","2,05%"
"24.04.2020","15,37","15,84","15,94","15,07","988,16K","-0,39%"
"27.04.2020","16,28","15,45","16,45","15,30","1,79M","5,92%"
"28.04.2020","16,16","16,80","16,83","15,74","1,34M","-0,74%"
"29.04.2020","17,56","16,74","17,89","16,74","1,18M","8,66%"
"30.04.2020","15,94","16,92","16,99","15,91","2,48M","-9,23%"
"01.05.2020","15,97","15,42","16,20","15,36","1,46M","0,19%"
"04.05.2020","15,94","15,61","16,30","15,60","1,13M","-0,19%"
"05.05.2020","15,83","16,25","16,84","15,78","951,07K","-0,69%"
"06.05.2020","15,59","15,95","16,03","15,52","703,96K","-1,52%"
"07.05.2020","16,11","15,98","16,19","15,80","809,77K","3,34%"
"08.05.2020","16,89","16,46","16,91","16,38","707,25K","4,84%"
"11.05.2020","16,04","16,33","16,60","15,78","1,11M","-5,03%"
"12.05.2020","14,58","16,08","16,14","14,56","2,10M","-9,10%"
"13.05.2020","14,35","14,42","14,60","13,95","1,41M","-1,58%"
"14.05.2020","14,61","13,90","14,63","13,72","910,95K","1,81%"
"15.05.2020","14,81","14,64","14,84","14,35","893,60K","1,37%"
"18.05.2020","16,22","15,82","16,40","15,77","2,25M","9,52%"
"19.05.2020","16,13","16,21","16,58","16,01","1,33M","-0,55%"
"20.05.2020","16,41","16,44","16,92","16,38","1,39M","1,74%"
"21.05.2020","16,25","16,49","16,60","16,18","1,18M","-0,98%"
"22.05.2020","16,20","16,23","16,31","15,90","1,08M","-0,31%"
"26.05.2020","17,14","16,93","17,29","16,65","1,46M","5,80%"
"27.05.2020","17,82","17,49","17,91","17,10","1,83M","3,97%"
"28.05.2020","17,46","18,16","18,16","17,41","1,41M","-2,02%"
"29.05.2020","17,16","17,19","17,46","16,92","1,29M","-1,72%"
"01.06.2020","17,46","17,23","17,57","17,10","1,07M","1,75%"
"02.06.2020","17,90","17,56","18,03","17,56","1,27M","2,52%"
"03.06.2020","19,05","18,29","19,09","18,13","1,57M","6,42%"
"04.06.2020","19,21","19,17","19,22","18,59","1,05M","0,84%"
"05.06.2020","20,00","20,16","20,63","19,93","1,35M","4,11%"
"08.06.2020","19,68","19,99","20,21","19,41","1,58M","-1,60%"
"09.06.2020","19,18","19,00","19,35","18,98","1,22M","-2,54%"
"10.06.2020","19,30","19,24","19,74","18,72","2,02M","0,63%"
"11.06.2020","17,52","18,36","18,67","17,46","2,19M","-9,22%"
"12.06.2020","18,28","18,45","18,64","17,86","1,49M","4,34%"
"15.06.2020","18,33","17,54","18,62","17,50","1,07M","0,27%"
"16.06.2020","19,68","19,25","19,90","19,15","2,07M","7,36%"
"17.06.2020","19,43","19,76","19,76","19,19","1,61M","-1,27%"
"18.06.2020","20,51","19,34","21,06","19,34","2,73M","5,56%"
"19.06.2020","20,30","20,82","21,10","20,09","2,50M","-1,02%"
"22.06.2020","20,58","20,15","20,66","20,15","1,66M","1,38%"
"23.06.2020","20,55","20,94","21,13","20,55","1,64M","-0,15%"
"24.06.2020","19,64","20,02","20,29","19,48","1,52M","-4,43%"
"25.06.2020","20,18","19,39","20,19","19,39","1,28M","2,75%"
"26.06.2020","19,56","19,83","19,94","19,39","1,51M","-3,07%"
"29.06.2020","20,16","19,95","20,33","19,92","1,24M","3,07%"
"30.06.2020","20,40","20,01","20,52","20,00","920,69K","1,19%"
"01.07.2020","19,87","20,55","20,55","19,78","1,22M","-2,60%"
"02.07.2020","19,83","20,25","20,52","19,73","894,43K","-0,20%"
"06.07.2020","20,11","20,45","20,45","19,67","945,65K","1,41%"
"07.07.2020","19,78","19,85","20,18","19,64","889,62K","-1,64%"
"08.07.2020","19,47","19,80","19,85","19,25","924,21K","-1,57%"
"09.07.2020","19,16","19,47","19,57","19,04","876,96K","-1,59%"
"10.07.2020","19,94","19,31","19,99","19,23","790,70K","4,07%"
"13.07.2020","19,58","20,24","20,40","19,54","1,16M","-1,81%"
"14.07.2020","20,38","19,60","20,40","19,51","1,09M","4,09%"
"15.07.2020","20,63","20,76","20,86","20,16","1,17M","1,23%"
"16.07.2020","20,38","20,36","20,71","20,28","1,27M","-1,21%"
"17.07.2020","20,37","20,41","20,63","20,29","763,21K","-0,05%"
"20.07.2020","20,11","20,20","20,34","19,95","863,58K","-1,28%"
"21.07.2020","20,35","20,40","20,59","20,30","820,81K","1,19%"
"22.07.2020","20,56","20,15","20,60","20,15","892,92K","1,03%"
"23.07.2020","20,47","20,50","20,91","20,42","954,46K","-0,44%"
"24.07.2020","20,42","20,47","20,51","20,04","1,12M","-0,24%"
"27.07.2020","20,65","20,34","20,75","20,25","965,07K","1,13%"
"28.07.2020","19,86","20,39","20,41","19,86","1,01M","-3,83%"
"29.07.2020","20,99","20,00","21,49","20,00","2,63M","5,69%"
"30.07.2020","20,90","20,57","20,90","20,38","1,21M","-0,43%"
"31.07.2020","20,68","21,00","21,16","20,49","1,33M","-1,05%"
"03.08.2020","21,31","20,71","21,52","20,58","1,15M","3,05%"
"04.08.2020","21,38","21,22","21,46","21,07","967,98K","0,33%"
"05.08.2020","21,67","21,90","21,97","21,67","1,09M","1,36%"
"06.08.2020","21,68","21,67","21,93","21,47","935,51K","0,05%"
"07.08.2020","21,88","21,49","21,89","21,31","823,86K","0,92%"
"10.08.2020","22,86","21,98","22,99","21,98","1,29M","4,48%"
"11.08.2020","22,49","23,00","23,30","22,43","1,13M","-1,62%"
"12.08.2020","22,78","22,81","22,94","22,49","783,37K","1,29%"
"13.08.2020","22,22","22,33","22,60","22,06","953,57K","-2,46%"
"14.08.2020","22,18","22,00","22,43","21,77","1,18M","-0,18%"
"17.08.2020","21,98","22,42","22,51","21,76","1,24M","-0,90%"
"18.08.2020","21,90","22,14","22,21","21,80","989,70K","-0,36%"
"19.08.2020","21,53","21,83","22,00","21,45","1,36M","-1,69%"
"20.08.2020","21,37","21,01","21,53","20,91","997,20K","-0,74%"
"21.08.2020","20,73","21,03","21,27","20,62","878,29K","-2,99%"
"24.08.2020","21,27","21,00","21,28","20,84","767,32K","2,60%"
"25.08.2020","21,27","21,32","21,43","20,85","802,69K","0,00%"
"26.08.2020","21,19","21,11","21,39","21,00","641,69K","-0,38%"
"27.08.2020","21,35","21,31","21,49","21,15","814,65K","0,76%"
"28.08.2020","21,59","21,50","21,87","21,39","798,09K","1,12%"
"31.08.2020","20,87","21,53","21,65","20,86","1,05M","-3,33%"
"01.09.2020","21,24","20,88","21,25","20,42","961,34K","1,77%"
"02.09.2020","21,24","21,24","21,35","20,89","840,17K","0,00%"
"03.09.2020","20,57","21,07","21,25","20,45","951,33K","-3,15%"
"04.09.2020","20,75","20,95","21,08","20,38","745,35K","0,88%"
"08.09.2020","20,15","20,29","20,46","20,01","913,64K","-2,89%"
"09.09.2020","20,20","20,50","20,50","19,88","658,81K","0,25%"
"10.09.2020","19,72","20,24","20,31","19,71","1,03M","-2,38%"
"11.09.2020","20,09","19,87","20,35","19,78","827,22K","1,88%"
"14.09.2020","20,61","20,30","20,66","20,09","901,33K","2,59%"
"15.09.2020","20,74","20,73","20,95","20,49","722,78K","0,63%"
"16.09.2020","21,48","20,65","21,72","20,59","1,37M","3,57%"
"17.09.2020","21,67","21,17","21,88","20,87","941,28K","0,88%"
"18.09.2020","21,47","21,69","22,15","21,41","2,34M","-0,92%"
"21.09.2020","19,77","20,87","20,94","19,41","1,65M","-7,92%"
"22.09.2020","19,59","19,85","19,93","19,42","988,55K","-0,91%"
"23.09.2020","19,80","19,56","20,36","19,56","1,27M","1,07%"
"24.09.2020","20,18","19,78","20,80","19,39","1,06M","1,92%"
"25.09.2020","20,20","19,88","20,44","19,70","718,13K","0,10%"
"28.09.2020","20,62","20,64","20,97","20,41","753,92K","2,08%"
"29.09.2020","20,03","20,55","20,70","19,96","641,73K","-2,86%"
"30.09.2020","19,98","20,13","20,54","19,88","1,13M","-0,25%"
"01.10.2020","20,10","20,02","20,36","19,86","922,32K","0,60%"
