"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","37,64","35,18","37,68","33,33","53,86M","13,37%"
"16.03.2020","33,71","33,23","36,99","32,40","44,21M","-10,44%"
"17.03.2020","35,50","34,70","36,25","33,60","41,57M","5,31%"
"18.03.2020","37,12","33,49","37,68","33,37","56,90M","4,56%"
"19.03.2020","37,71","36,98","39,30","36,15","58,32M","1,59%"
"20.03.2020","35,60","38,27","38,47","35,40","48,58M","-5,60%"
"23.03.2020","34,60","35,51","35,82","33,74","39,82M","-2,81%"
"24.03.2020","38,60","36,46","38,62","35,55","48,24M","11,56%"
"25.03.2020","37,67","38,64","39,92","37,51","42,87M","-2,41%"
"26.03.2020","40,58","38,02","40,88","37,39","38,49M","7,72%"
"27.03.2020","38,82","39,13","40,14","38,42","31,28M","-4,34%"
"30.03.2020","40,32","39,45","40,49","38,96","27,12M","3,86%"
"31.03.2020","39,31","40,13","40,42","39,11","26,02M","-2,50%"
"01.04.2020","38,33","38,17","38,86","37,87","26,79M","-2,49%"
"02.04.2020","39,80","37,84","39,94","37,47","28,18M","3,84%"
"03.04.2020","39,06","39,82","40,29","38,54","21,24M","-1,86%"
"06.04.2020","41,43","40,46","41,68","39,78","31,64M","6,07%"
"07.04.2020","40,64","42,66","42,74","40,59","30,37M","-1,91%"
"08.04.2020","41,74","41,17","42,20","40,87","22,68M","2,71%"
"09.04.2020","41,20","42,09","42,20","40,85","27,65M","-1,29%"
"13.04.2020","41,22","41,04","41,46","40,53","19,59M","0,05%"
"14.04.2020","42,78","41,91","42,82","41,53","22,88M","3,78%"
"15.04.2020","41,52","42,20","42,37","41,23","18,43M","-2,95%"
"16.04.2020","41,50","41,76","41,79","40,68","26,18M","-0,05%"
"17.04.2020","42,48","42,25","42,64","41,74","30,70M","2,36%"
"20.04.2020","42,54","41,92","43,29","41,79","23,44M","0,14%"
"21.04.2020","40,55","41,83","41,99","40,41","31,66M","-4,68%"
"22.04.2020","41,76","41,27","42,09","41,11","18,34M","2,98%"
"23.04.2020","41,62","41,89","42,55","41,53","16,10M","-0,34%"
"24.04.2020","42,52","41,84","42,66","41,65","14,64M","2,16%"
"27.04.2020","43,06","42,70","43,22","42,58","17,94M","1,27%"
"28.04.2020","42,49","43,50","43,63","42,41","16,43M","-1,32%"
"29.04.2020","43,34","43,35","43,48","42,93","17,43M","2,00%"
"30.04.2020","42,38","43,17","43,17","42,17","26,68M","-2,22%"
"01.05.2020","40,92","41,72","41,81","40,76","22,10M","-3,45%"
"04.05.2020","41,35","40,95","41,41","40,49","16,00M","1,05%"
"05.05.2020","41,46","41,61","41,92","41,39","15,06M","0,27%"
"06.05.2020","41,15","41,56","41,69","40,97","16,04M","-0,75%"
"07.05.2020","41,37","41,59","41,76","41,22","20,17M","0,53%"
"08.05.2020","42,99","42,02","43,02","41,70","21,96M","3,92%"
"11.05.2020","43,32","42,78","43,65","42,60","26,18M","0,77%"
"12.05.2020","43,22","43,94","44,30","43,19","25,82M","-0,23%"
"13.05.2020","41,95","43,29","43,55","41,32","36,99M","-2,94%"
"14.05.2020","43,85","43,70","44,57","43,27","50,42M","4,53%"
"15.05.2020","44,27","42,92","44,37","42,92","30,57M","0,96%"
"18.05.2020","45,06","45,22","45,29","44,34","26,98M","1,78%"
"19.05.2020","44,60","44,75","44,98","44,42","24,35M","-1,02%"
"20.05.2020","45,44","45,09","45,82","45,05","20,18M","1,88%"
"21.05.2020","44,64","45,45","45,65","44,57","18,67M","-1,76%"
"22.05.2020","44,90","44,67","44,95","44,12","12,59M","0,58%"
"26.05.2020","44,84","45,79","45,79","44,69","21,78M","-0,13%"
"27.05.2020","45,96","45,05","45,98","44,81","22,16M","2,50%"
"28.05.2020","45,59","45,99","46,46","45,38","20,03M","-0,81%"
"29.05.2020","47,82","46,00","47,82","45,42","43,57M","4,89%"
"01.06.2020","46,30","47,21","47,27","46,23","18,73M","-3,18%"
"02.06.2020","46,89","46,40","46,90","45,89","17,29M","1,27%"
"03.06.2020","46,94","47,03","47,19","46,55","17,49M","0,11%"
"04.06.2020","46,86","46,77","47,24","46,53","14,10M","-0,17%"
"05.06.2020","47,83","47,27","48,29","47,20","22,59M","2,07%"
"08.06.2020","48,13","47,45","48,15","47,12","17,82M","0,63%"
"09.06.2020","48,05","48,00","48,23","47,50","18,60M","-0,17%"
"10.06.2020","47,42","47,71","47,82","47,13","18,46M","-1,31%"
"11.06.2020","43,67","46,91","46,91","43,64","35,58M","-7,91%"
"12.06.2020","45,07","44,96","45,86","44,11","26,13M","3,21%"
"15.06.2020","45,35","44,12","45,76","43,94","21,30M","0,62%"
"16.06.2020","46,48","47,41","47,41","45,95","28,07M","2,49%"
