"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","221,14","212,02","222,67","205,24","2,76M","0,14%"
"11.03.2021","220,84","214,55","224,00","213,00","3,41M","7,24%"
"10.03.2021","205,93","212,78","215,17","203,37","2,74M","-0,42%"
"09.03.2021","206,79","202,99","210,10","198,90","3,71M","8,69%"
"08.03.2021","190,26","199,11","209,55","189,87","3,91M","-5,01%"
"05.03.2021","200,30","201,01","203,43","179,23","5,64M","1,11%"
"04.03.2021","198,10","207,43","212,90","187,16","6,51M","-5,04%"
"03.03.2021","208,61","235,27","237,15","206,91","7,23M","-12,51%"
"02.03.2021","238,43","243,54","251,74","237,05","3,69M","-2,51%"
"01.03.2021","244,58","224,75","248,00","224,00","6,68M","11,04%"
"26.02.2021","220,27","224,00","232,29","206,37","11,05M","11,48%"
"25.02.2021","197,58","205,99","213,85","194,82","3,70M","-5,51%"
"24.02.2021","209,10","209,99","212,88","202,26","2,18M","-0,78%"
"23.02.2021","210,75","203,00","211,75","191,00","3,65M","-1,11%"
"22.02.2021","213,12","224,06","224,12","211,77","2,65M","-6,23%"
"19.02.2021","227,27","224,09","230,43","223,61","1,83M","2,92%"
"18.02.2021","220,82","215,55","225,18","215,55","1,53M","-0,71%"
"17.02.2021","222,41","224,27","224,99","214,07","2,39M","-2,59%"
"16.02.2021","228,32","239,07","239,07","226,12","2,17M","-2,37%"
"12.02.2021","233,86","227,71","235,10","224,57","1,81M","3,45%"
"11.02.2021","226,05","227,36","229,98","223,83","1,52M","0,18%"
"10.02.2021","225,65","231,97","231,97","220,77","1,69M","-1,84%"
"09.02.2021","229,87","229,82","231,60","226,81","1,66M","-0,79%"
"08.02.2021","231,69","233,17","238,95","226,50","2,99M","0,25%"
"05.02.2021","231,12","222,00","239,47","220,32","3,82M","4,65%"
"04.02.2021","220,84","212,00","221,87","212,00","3,19M","5,13%"
"03.02.2021","210,07","211,76","215,09","208,29","1,73M","-0,10%"
"02.02.2021","210,29","208,90","213,35","206,50","1,98M","3,20%"
"01.02.2021","203,77","201,70","204,58","195,85","1,80M","2,35%"
"29.01.2021","199,09","201,65","203,67","193,68","2,27M","-1,64%"
"28.01.2021","202,41","196,00","207,00","193,46","2,99M","4,67%"
"27.01.2021","193,37","198,43","205,61","192,47","3,65M","-5,40%"
"26.01.2021","204,41","225,83","226,10","203,08","8,01M","-2,11%"
"25.01.2021","208,81","216,91","221,42","205,58","2,34M","-2,24%"
"22.01.2021","213,59","211,17","215,15","209,14","2,16M","0,49%"
"21.01.2021","212,54","218,55","221,44","212,30","2,94M","-1,46%"
"20.01.2021","215,69","223,43","225,74","213,72","3,44M","-2,54%"
"19.01.2021","221,31","208,50","221,34","208,35","4,51M","8,26%"
"15.01.2021","204,42","211,21","211,99","197,16","3,60M","-3,36%"
"14.01.2021","211,52","207,65","220,98","207,65","5,04M","2,17%"
"13.01.2021","207,03","204,87","209,04","200,92","2,93M","0,92%"
"12.01.2021","205,15","186,64","211,85","186,11","9,36M","12,08%"
"11.01.2021","183,04","174,04","187,37","171,31","3,82M","4,21%"
"08.01.2021","175,65","172,91","179,73","171,76","2,47M","2,85%"
"07.01.2021","170,79","169,90","173,01","167,28","2,79M","1,92%"
"06.01.2021","167,57","172,10","172,79","166,40","2,97M","-4,23%"
"05.01.2021","174,98","169,81","175,55","169,81","2,17M","1,69%"
"04.01.2021","172,08","179,52","181,30","168,57","3,26M","-3,28%"
"31.12.2020","177,91","183,13","183,38","175,80","2,08M","-2,88%"
"30.12.2020","183,18","178,88","183,25","176,12","2,13M","3,49%"
"29.12.2020","177,01","179,85","180,00","173,76","2,36M","-0,62%"
"28.12.2020","178,12","193,18","193,18","175,84","4,22M","-6,41%"
"24.12.2020","190,31","191,21","193,74","188,08","1,12M","0,07%"
"23.12.2020","190,17","197,12","197,18","190,07","2,10M","-3,65%"
"22.12.2020","197,38","191,00","198,50","190,72","3,38M","4,32%"
"21.12.2020","189,20","189,44","192,71","184,85","3,03M","-0,82%"
"18.12.2020","190,76","190,59","191,73","184,69","5,35M","1,41%"
"17.12.2020","188,10","184,50","192,00","183,33","4,32M","3,16%"
"16.12.2020","182,34","173,69","182,78","171,34","4,26M","2,55%"
"15.12.2020","177,80","172,00","179,91","170,79","3,38M","4,61%"
"14.12.2020","169,97","172,24","176,24","169,79","3,07M","-0,03%"
"11.12.2020","170,02","166,08","171,66","165,72","3,06M","2,86%"
"10.12.2020","165,30","157,19","167,53","157,19","2,59M","3,81%"
"09.12.2020","159,23","165,87","167,45","157,74","3,89M","-2,89%"
"08.12.2020","163,97","157,77","167,83","157,14","3,27M","4,49%"
"07.12.2020","156,93","155,89","158,86","153,68","1,94M","1,23%"
"04.12.2020","155,03","154,13","157,09","153,22","1,97M","0,19%"
"03.12.2020","154,74","154,45","157,00","154,27","2,02M","0,08%"
"02.12.2020","154,62","151,38","155,58","150,19","2,20M","-0,03%"
"01.12.2020","154,67","161,51","161,51","154,10","3,22M","-3,75%"
"30.11.2020","160,70","161,94","164,64","153,36","10,74M","0,09%"
"27.11.2020","160,55","149,17","160,62","149,17","5,02M","10,66%"
"25.11.2020","145,09","138,63","146,95","138,51","3,55M","5,44%"
"24.11.2020","137,60","139,48","140,00","133,87","3,33M","-1,85%"
"23.11.2020","140,20","141,13","143,03","138,52","2,60M","0,10%"
"20.11.2020","140,06","136,52","143,96","136,26","4,42M","4,13%"
"19.11.2020","134,50","127,71","134,68","127,71","3,01M","5,90%"
"18.11.2020","127,01","127,98","128,77","124,71","2,54M","-1,41%"
"17.11.2020","128,82","126,53","128,92","123,70","2,50M","2,55%"
"16.11.2020","125,62","122,11","127,20","120,69","3,50M","0,56%"
