"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","3,415","3,550","3,566","3,340","96,22K","-3,80%"
"11.03.2021","3,550","3,620","3,620","3,460","142,64K","0,28%"
"10.03.2021","3,540","3,550","3,670","3,460","163,45K","4,12%"
"09.03.2021","3,400","3,260","3,430","3,260","224,23K","4,94%"
"08.03.2021","3,240","3,250","3,310","3,230","124,60K","0,31%"
"05.03.2021","3,230","3,260","3,297","2,890","206,87K","-0,31%"
"04.03.2021","3,240","3,700","3,700","3,200","306,67K","-12,20%"
"03.03.2021","3,690","3,780","3,780","3,640","149,92K","-2,38%"
"02.03.2021","3,780","3,990","3,990","3,730","164,18K","-3,57%"
"01.03.2021","3,920","3,750","3,950","3,720","163,15K","8,29%"
"26.02.2021","3,620","3,660","3,750","3,501","108,30K","0,84%"
"25.02.2021","3,590","4,030","4,090","3,590","259,62K","-8,42%"
"24.02.2021","3,920","3,760","4,030","3,760","184,79K","7,40%"
"23.02.2021","3,650","3,950","4,000","3,580","417,22K","-12,47%"
"22.02.2021","4,170","4,600","4,600","4,100","408,60K","-9,15%"
"19.02.2021","4,590","4,520","4,800","4,500","280,04K","2,91%"
"18.02.2021","4,460","4,680","4,680","4,300","327,20K","-5,91%"
"17.02.2021","4,740","4,780","4,860","4,520","519,36K","-2,87%"
"16.02.2021","4,880","5,670","5,670","4,600","2,80M","16,19%"
"12.02.2021","4,200","3,930","4,250","3,930","3,73M","7,14%"
"11.02.2021","3,920","4,200","4,290","3,810","272,48K","-6,44%"
"10.02.2021","4,190","4,230","4,300","3,930","382,99K","-1,41%"
"09.02.2021","4,250","4,290","4,515","4,200","451,96K","-2,30%"
"08.02.2021","4,350","4,190","4,380","3,960","707,70K","0,23%"
"05.02.2021","4,340","3,670","4,490","3,640","1,36M","19,89%"
"04.02.2021","3,620","3,690","3,800","3,590","370,04K","0,56%"
"03.02.2021","3,600","3,520","3,750","3,440","379,61K","4,65%"
