"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","52,68","52,06","52,90","51,75","305,20K","-1,14%"
"11.03.2021","53,29","52,54","53,29","52,54","968,01K","2,52%"
"10.03.2021","51,98","52,63","53,92","49,85","840,84K","-0,23%"
"09.03.2021","52,10","49,21","53,50","49,06","966,07K","6,89%"
"08.03.2021","48,74","48,94","49,80","46,51","1,02M","-0,55%"
"05.03.2021","49,01","50,42","50,70","44,20","1,58M","-2,02%"
"04.03.2021","50,02","52,78","52,78","49,53","890,70K","-5,14%"
"03.03.2021","52,73","55,09","55,11","52,53","687,33K","-3,83%"
"02.03.2021","54,83","56,04","59,02","54,59","999,21K","-2,18%"
"01.03.2021","56,05","54,61","56,84","54,42","918,16K","3,82%"
"26.02.2021","53,99","53,79","55,92","52,65","1,01M","-0,90%"
"25.02.2021","54,48","54,31","54,90","53,24","860,37K","1,08%"
"24.02.2021","53,90","54,56","55,70","52,60","762,87K","-0,74%"
"23.02.2021","54,30","55,48","55,50","50,20","878,00K","-2,76%"
"22.02.2021","55,84","56,36","57,85","55,02","530,40K","-1,81%"
"19.02.2021","56,87","56,94","59,37","56,24","789,61K","0,65%"
"18.02.2021","56,50","57,03","57,18","53,80","1,05M","-3,17%"
"17.02.2021","58,35","60,22","60,44","57,20","692,97K","-3,12%"
"16.02.2021","60,23","59,51","61,29","58,75","917,45K","1,43%"
"12.02.2021","59,38","59,02","59,38","57,60","590,70K","0,64%"
"11.02.2021","59,00","56,50","61,65","55,55","2,01M","5,26%"
"10.02.2021","56,05","57,99","58,29","55,03","836,09K","2,69%"
"09.02.2021","54,58","57,53","57,89","53,90","927,65K","-3,99%"
"08.02.2021","56,85","51,54","57,64","51,47","2,63M","17,43%"
"05.02.2021","48,41","49,60","49,60","48,26","1,23M","-1,26%"
"04.02.2021","49,03","49,61","50,17","48,70","595,74K","-1,17%"
"03.02.2021","49,61","50,11","51,15","49,50","958,36K","-0,60%"
"02.02.2021","49,91","51,46","51,69","49,86","1,18M","-3,69%"
"01.02.2021","51,82","50,60","52,10","49,82","650,50K","3,47%"
"29.01.2021","50,08","52,27","52,49","50,08","825,68K","-4,30%"
"28.01.2021","52,33","50,00","53,25","49,58","888,80K","5,61%"
"27.01.2021","49,55","50,02","51,39","49,50","846,87K","-1,57%"
"26.01.2021","50,34","51,09","51,97","50,10","608,53K","-1,39%"
"25.01.2021","51,05","51,71","51,96","50,51","647,53K","-1,26%"
"22.01.2021","51,70","52,73","53,14","51,42","630,78K","-2,64%"
"21.01.2021","53,10","51,48","53,26","51,02","1,03M","3,17%"
"20.01.2021","51,47","52,19","52,35","50,73","1,03M","-1,32%"
"19.01.2021","52,16","51,76","53,66","51,70","1,15M","2,66%"
"15.01.2021","50,81","52,35","55,00","50,53","1,90M","-3,38%"
"14.01.2021","52,59","49,63","54,24","49,21","1,35M","6,83%"
"13.01.2021","49,23","49,30","50,06","48,76","567,58K","0,10%"
"12.01.2021","49,18","50,00","50,08","48,76","558,28K","-1,42%"
"11.01.2021","49,89","50,70","51,50","49,81","670,61K","-2,21%"
"08.01.2021","51,02","50,31","51,25","49,08","702,07K","2,02%"
"07.01.2021","50,01","51,09","51,31","50,01","455,70K","-2,21%"
"06.01.2021","51,14","49,90","51,84","49,58","659,54K","2,63%"
"05.01.2021","49,83","49,87","50,26","49,41","726,99K","-0,28%"
"04.01.2021","49,97","51,32","52,44","47,16","879,82K","-2,61%"
"31.12.2020","51,31","51,68","51,78","51,15","253,84K","-0,70%"
"30.12.2020","51,67","51,45","51,74","50,81","640,11K","0,23%"
"29.12.2020","51,55","51,75","52,13","50,51","541,70K","-0,29%"
"28.12.2020","51,70","52,57","52,73","50,01","905,60K","-0,67%"
"24.12.2020","52,05","50,23","52,41","50,11","826,95K","2,18%"
"23.12.2020","50,94","53,40","53,85","50,00","1,61M","1,94%"
"22.12.2020","49,97","48,65","50,35","48,53","2,23M","9,80%"
"21.12.2020","45,51","44,16","45,65","43,91","816,57K","1,61%"
"18.12.2020","44,79","44,80","45,71","44,35","849,92K","0,25%"
"17.12.2020","44,68","45,35","46,52","43,91","904,48K","-3,46%"
"16.12.2020","46,28","43,00","46,76","42,08","2,06M","11,95%"
"15.12.2020","41,34","43,72","43,72","41,00","894,35K","-5,44%"
"14.12.2020","43,72","46,10","46,34","42,62","1,77M","-3,91%"
"11.12.2020","45,50","42,88","45,53","42,88","1,31M","6,51%"
"10.12.2020","42,72","42,77","43,00","42,08","282,87K","-0,47%"
"09.12.2020","42,92","43,84","44,11","42,58","711,81K","-1,72%"
"08.12.2020","43,67","44,00","45,00","40,60","816,01K","-0,68%"
"07.12.2020","43,97","43,52","44,26","43,34","479,04K","3,61%"
"04.12.2020","42,44","40,63","42,44","40,63","508,63K","4,66%"
"03.12.2020","40,55","40,15","41,25","39,41","1,08M","3,05%"
"02.12.2020","39,35","38,01","40,06","37,93","709,69K","3,91%"
"01.12.2020","37,87","37,03","38,58","36,86","736,20K","2,71%"
"30.11.2020","36,87","36,15","36,87","35,04","1,04M","2,33%"
"27.11.2020","36,03","34,51","36,33","34,51","488,28K","4,68%"
"25.11.2020","34,42","34,50","35,00","34,33","239,67K","-0,75%"
"24.11.2020","34,68","35,21","36,49","34,36","952,91K","-1,17%"
"23.11.2020","35,09","34,25","35,22","33,96","709,89K","3,15%"
"20.11.2020","34,02","34,80","34,85","33,81","386,96K","-1,96%"
"19.11.2020","34,70","32,97","34,85","32,75","720,01K","5,54%"
"18.11.2020","32,88","34,82","34,83","32,60","760,36K","-5,03%"
"17.11.2020","34,62","33,85","34,89","33,20","558,35K","2,97%"
"16.11.2020","33,62","32,25","34,22","32,21","1,07M","4,70%"
"13.11.2020","32,11","32,09","32,11","30,96","764,91K","0,56%"
"12.11.2020","31,93","31,61","31,93","31,36","333,65K","1,08%"
"11.11.2020","31,59","30,23","31,59","30,20","314,59K","5,23%"
"10.11.2020","30,02","30,28","31,02","29,59","486,29K","-0,86%"
"09.11.2020","30,28","31,92","32,50","30,15","485,53K","-2,35%"
"06.11.2020","31,01","30,32","31,43","30,20","419,30K","1,71%"
"05.11.2020","30,49","29,18","30,80","29,18","624,66K","5,65%"
"04.11.2020","28,86","28,24","29,80","28,24","424,36K","2,16%"
"03.11.2020","28,25","27,59","28,34","27,59","263,51K","3,37%"
"02.11.2020","27,33","26,86","27,38","26,86","282,60K","1,79%"
"30.10.2020","26,85","27,66","27,80","26,70","347,95K","-3,14%"
"29.10.2020","27,72","27,80","27,92","27,63","144,84K","-0,50%"
"28.10.2020","27,86","27,90","28,07","27,71","210,79K","-1,10%"
"27.10.2020","28,17","28,19","28,34","28,02","209,72K","0,11%"
"26.10.2020","28,14","28,95","29,38","27,62","474,58K","-3,43%"
"23.10.2020","29,14","28,57","29,14","28,57","228,75K","1,89%"
"22.10.2020","28,60","28,52","28,60","28,46","130,32K","0,18%"
"21.10.2020","28,55","28,52","28,58","28,43","183,24K","0,25%"
"20.10.2020","28,48","28,37","28,64","28,37","213,76K","0,46%"
"19.10.2020","28,35","28,45","28,81","28,30","387,11K","-0,21%"
"16.10.2020","28,41","27,24","28,44","27,24","479,53K","4,87%"
"15.10.2020","27,09","27,25","27,25","26,86","168,95K","-0,55%"
"14.10.2020","27,24","27,21","27,28","27,08","158,51K","0,48%"
"13.10.2020","27,11","26,57","27,11","26,25","228,82K","2,88%"
"12.10.2020","26,35","26,32","27,18","25,99","378,57K","1,31%"
"09.10.2020","26,01","25,90","26,05","25,78","99,29K","0,66%"
"08.10.2020","25,84","26,04","26,06","25,67","123,21K","0,39%"
"07.10.2020","25,74","25,67","25,95","25,58","194,67K","1,06%"
"06.10.2020","25,47","24,88","25,84","24,77","444,94K","2,87%"
"05.10.2020","24,76","24,49","24,76","24,49","135,91K","1,56%"
"02.10.2020","24,38","24,31","24,48","24,08","112,68K","0,25%"
"01.10.2020","24,32","24,17","24,39","24,10","123,69K","1,46%"
"30.09.2020","23,97","24,09","24,20","23,89","161,19K","-0,17%"
"29.09.2020","24,01","24,03","24,17","24,01","114,62K","-0,25%"
