"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","59,50","58,94","59,51","57,10","4,71M","-0,57%"
"11.03.2021","59,84","58,60","60,03","57,10","3,90M","5,97%"
"10.03.2021","56,47","57,89","57,89","53,91","10,14M","0,41%"
"09.03.2021","56,24","55,32","56,71","54,53","10,72M","5,12%"
"08.03.2021","53,50","56,02","56,49","53,36","7,46M","-3,62%"
"05.03.2021","55,51","55,50","56,33","51,36","9,35M","-0,93%"
"04.03.2021","56,03","55,88","56,85","52,40","12,07M","-3,46%"
"03.03.2021","58,04","58,34","60,12","56,34","7,69M","-1,66%"
"02.03.2021","59,02","63,58","63,81","58,45","11,98M","-9,34%"
"01.03.2021","65,10","65,18","66,26","61,77","8,01M","-1,18%"
"28.02.2021","65,88","65,88","65,88","65,88","-","0,00%"
"27.02.2021","65,88","65,88","65,88","65,88","-","0,00%"
"26.02.2021","65,88","60,63","67,71","60,40","11,74M","3,24%"
"25.02.2021","63,81","66,79","68,97","63,14","5,37M","-4,15%"
"24.02.2021","66,57","66,16","68,37","63,50","4,00M","0,09%"
"23.02.2021","66,51","63,78","66,70","58,39","6,38M","-2,16%"
"22.02.2021","67,98","70,31","71,21","66,68","8,65M","-7,32%"
"19.02.2021","73,35","69,61","73,87","69,59","3,51M","6,15%"
"18.02.2021","69,10","65,64","69,19","64,80","3,25M","1,63%"
"17.02.2021","67,99","69,16","69,51","64,69","4,01M","-2,52%"
"16.02.2021","69,75","71,56","71,67","67,31","3,60M","0,35%"
"12.02.2021","69,51","68,68","69,71","67,60","1,80M","0,68%"
"11.02.2021","69,04","67,84","70,01","66,95","3,17M","4,54%"
"10.02.2021","66,04","67,79","68,78","65,00","3,85M","-1,09%"
"09.02.2021","66,77","64,01","67,79","62,70","3,89M","5,45%"
"08.02.2021","63,32","66,50","66,57","59,14","8,06M","-4,80%"
"05.02.2021","66,51","68,22","69,45","66,35","4,78M","-0,92%"
"04.02.2021","67,13","67,82","67,97","64,00","6,03M","0,19%"
"03.02.2021","67,00","64,08","68,20","63,51","8,23M","6,47%"
"02.02.2021","62,93","60,26","63,83","59,80","7,14M","5,94%"
"01.02.2021","59,40","61,74","61,88","57,15","5,68M","-3,00%"
"29.01.2021","61,24","60,00","61,56","58,53","5,96M","0,86%"
"28.01.2021","60,72","57,20","61,47","53,85","5,38M","6,98%"
"27.01.2021","56,76","56,12","59,21","53,96","6,08M","-5,89%"
"26.01.2021","60,31","62,00","62,66","59,45","2,17M","-1,57%"
"25.01.2021","61,27","64,19","64,21","58,93","4,83M","-2,75%"
"24.01.2021","63,00","63,00","63,00","63,00","-","0,00%"
"22.01.2021","63,00","61,78","65,23","61,70","3,52M","1,56%"
"21.01.2021","62,03","62,61","63,41","61,14","3,81M","1,12%"
"20.01.2021","61,34","60,71","63,80","59,96","4,97M","4,36%"
"19.01.2021","58,78","58,58","59,11","57,34","2,73M","1,36%"
"15.01.2021","57,99","60,00","60,31","56,36","2,93M","-2,54%"
"14.01.2021","59,50","62,00","63,10","58,95","5,35M","-2,94%"
"13.01.2021","61,30","62,18","62,47","59,43","3,33M","-1,42%"
"12.01.2021","62,18","60,31","64,18","59,54","7,03M","3,10%"
"11.01.2021","60,31","60,95","60,95","58,59","4,04M","-1,95%"
"10.01.2021","61,51","61,51","61,51","61,51","-","0,00%"
"09.01.2021","61,51","61,51","61,51","61,51","-","0,00%"
"08.01.2021","61,51","63,09","63,10","60,89","4,71M","-0,39%"
"07.01.2021","61,75","62,15","63,20","60,93","4,37M","2,05%"
"06.01.2021","60,51","61,00","62,11","60,14","3,64M","-4,87%"
"05.01.2021","63,61","61,03","65,03","60,51","3,59M","2,60%"
"04.01.2021","62,00","63,80","63,81","59,07","6,01M","-2,84%"
"31.12.2020","63,81","64,41","64,65","62,72","3,72M","-1,12%"
"30.12.2020","64,53","63,60","65,00","62,97","2,05M","2,72%"
"29.12.2020","62,82","62,53","63,62","61,98","3,51M","0,66%"
"28.12.2020","62,41","65,02","65,38","58,69","5,24M","-2,48%"
"24.12.2020","64,00","64,01","64,21","62,31","2,17M","0,39%"
"23.12.2020","63,75","65,42","65,42","63,02","3,81M","-1,68%"
"22.12.2020","64,84","65,02","65,54","63,80","4,92M","0,68%"
"21.12.2020","64,40","62,00","64,43","61,74","3,02M","2,12%"
"18.12.2020","63,06","63,74","63,74","61,75","3,35M","0,41%"
"17.12.2020","62,80","62,13","63,57","61,10","5,19M","3,10%"
"16.12.2020","60,91","58,11","61,01","55,83","5,03M","3,76%"
"15.12.2020","58,70","58,92","60,61","58,58","2,07M","-0,66%"
"14.12.2020","59,09","61,20","61,65","58,33","4,27M","-1,65%"
"11.12.2020","60,08","59,85","60,20","58,64","4,74M","-0,13%"
"10.12.2020","60,16","58,17","60,18","58,17","2,88M","1,59%"
"09.12.2020","59,22","59,25","61,03","57,89","5,18M","-0,65%"
"08.12.2020","59,61","57,42","59,95","57,29","6,59M","4,84%"
"07.12.2020","56,86","57,25","57,42","56,62","5,03M","-0,52%"
"04.12.2020","57,16","56,65","57,49","56,10","6,08M","1,22%"
"03.12.2020","56,47","55,70","56,48","54,84","5,47M","1,00%"
