"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","2.050,00","2.077,61","2.077,61","2.033,10","1,69M","-2,41%"
"11.03.2021","2.100,54","2.061,28","2.110,10","2.058,80","1,39M","3,16%"
"10.03.2021","2.036,19","2.058,42","2.058,42","2.020,40","1,36M","-0,20%"
"09.03.2021","2.040,36","2.051,68","2.062,78","2.037,47","1,70M","1,64%"
"08.03.2021","2.007,50","2.085,80","2.111,50","2.006,39","1,84M","-4,27%"
"05.03.2021","2.097,07","2.061,15","2.106,20","2.027,78","2,65M","3,10%"
"04.03.2021","2.033,93","2.012,52","2.074,31","2.007,00","2,46M","1,12%"
"03.03.2021","2.011,41","2.056,40","2.074,19","1.995,67","1,69M","-2,57%"
"02.03.2021","2.064,48","2.062,95","2.094,74","2.060,74","1,28M","-0,25%"
"01.03.2021","2.069,66","2.053,86","2.075,19","2.036,06","1,30M","2,36%"
"26.02.2021","2.021,91","2.029,95","2.056,52","2.001,01","2,00M","0,30%"
"25.02.2021","2.015,95","2.073,42","2.080,00","2.006,49","2,08M","-3,26%"
"24.02.2021","2.083,81","2.030,04","2.088,32","2.027,53","1,13M","1,15%"
"23.02.2021","2.060,12","2.014,99","2.071,42","1.990,52","1,73M","0,29%"
"22.02.2021","2.054,26","2.053,20","2.079,73","2.049,48","1,47M","-1,65%"
"19.02.2021","2.088,81","2.107,79","2.118,58","2.083,43","1,90M","-0,81%"
"18.02.2021","2.105,81","2.102,69","2.121,26","2.094,00","1,13M","-0,60%"
"17.02.2021","2.118,62","2.089,28","2.122,00","2.089,28","1,02M","0,38%"
"16.02.2021","2.110,70","2.098,20","2.145,14","2.098,20","1,55M","0,75%"
"12.02.2021","2.095,03","2.079,77","2.099,50","2.073,57","949,53K","0,30%"
"11.02.2021","2.088,75","2.091,48","2.091,48","2.069,34","1,02M","0,11%"
"10.02.2021","2.086,48","2.089,31","2.097,59","2.053,36","1,26M","0,53%"
"09.02.2021","2.075,39","2.073,63","2.096,74","2.070,21","1,09M","-0,44%"
"08.02.2021","2.084,52","2.098,63","2.113,84","2.064,00","1,44M","-0,21%"
"05.02.2021","2.088,83","2.059,56","2.095,94","2.050,00","1,49M","1,71%"
