"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","23,35","22,64","23,69","22,45","591,45K","-1,02%"
"11.03.2021","23,59","23,27","23,77","22,81","1,50M","2,48%"
"10.03.2021","23,02","22,72","23,03","22,00","967,46K","3,18%"
"09.03.2021","22,31","22,71","22,71","21,22","1,62M","11,16%"
"08.03.2021","20,07","20,41","20,98","19,55","1,60M","-1,76%"
"05.03.2021","20,43","20,80","21,40","18,86","1,89M","0,59%"
"04.03.2021","20,31","22,07","22,37","19,51","1,98M","-7,01%"
"03.03.2021","21,84","23,04","23,37","21,44","2,17M","-6,63%"
"02.03.2021","23,39","22,98","23,45","22,50","2,27M","1,39%"
"01.03.2021","23,07","23,14","24,15","22,55","1,43M","4,39%"
"26.02.2021","22,10","22,35","22,87","20,94","1,91M","-1,16%"
"25.02.2021","22,36","25,60","25,60","22,36","3,18M","-11,06%"
"24.02.2021","25,14","25,27","25,50","24,40","1,29M","1,62%"
"23.02.2021","24,74","24,65","25,45","24,07","1,91M","-4,15%"
"22.02.2021","25,81","26,88","27,00","25,73","1,61M","-4,02%"
"19.02.2021","26,89","26,00","27,07","25,62","1,88M","3,62%"
"18.02.2021","25,95","26,18","26,60","25,28","1,83M","-4,14%"
"17.02.2021","27,07","28,26","28,42","25,51","2,96M","-3,36%"
"16.02.2021","28,01","36,90","36,90","26,50","10,27M","-9,32%"
"12.02.2021","30,89","32,86","33,32","30,19","2,26M","-5,22%"
"11.02.2021","32,59","31,05","32,90","30,07","1,34M","7,56%"
"10.02.2021","30,30","30,84","31,93","29,66","1,34M","-0,92%"
"09.02.2021","30,58","30,11","30,68","29,45","1,09M","1,16%"
"08.02.2021","30,23","30,11","30,77","29,08","2,33M","7,93%"
"05.02.2021","28,01","28,01","28,58","27,37","1,53M","0,54%"
"04.02.2021","27,86","28,10","28,80","27,09","1,40M","0,58%"
"03.02.2021","27,70","27,83","29,04","27,58","1,11M","0,36%"
"02.02.2021","27,60","29,36","29,36","27,03","2,92M","1,85%"
"01.02.2021","27,10","25,31","27,22","25,03","2,10M","12,31%"
"29.01.2021","24,13","22,83","24,91","22,64","1,77M","6,96%"
"28.01.2021","22,56","22,50","23,09","22,08","1,32M","3,72%"
"27.01.2021","21,75","20,89","22,68","20,50","1,94M","3,77%"
"26.01.2021","20,96","21,52","21,90","20,85","808,75K","-1,92%"
"25.01.2021","21,37","21,03","21,41","20,23","977,16K","2,69%"
"22.01.2021","20,81","20,89","21,23","19,87","1,08M","-2,76%"
"21.01.2021","21,40","21,20","21,54","20,35","1,00M","1,95%"
"20.01.2021","20,99","21,65","21,80","20,81","840,40K","-3,23%"
"19.01.2021","21,69","21,20","22,10","20,68","1,41M","4,13%"
"15.01.2021","20,83","20,60","21,45","20,46","837,14K","0,77%"
"14.01.2021","20,67","19,73","20,88","19,53","1,20M","5,89%"
"13.01.2021","19,52","20,01","20,25","19,26","1,06M","-2,20%"
"12.01.2021","19,96","19,16","20,17","19,01","1,10M","6,28%"
"11.01.2021","18,78","17,52","19,33","17,52","1,21M","6,77%"
"08.01.2021","17,59","17,75","18,00","17,27","1,29M","-0,23%"
"07.01.2021","17,63","17,74","17,90","17,44","1,31M","0,28%"
"06.01.2021","17,58","17,88","18,10","17,35","1,66M","-1,12%"
"05.01.2021","17,78","17,99","18,19","17,62","928,91K","-1,60%"
"04.01.2021","18,07","18,35","18,51","17,70","794,21K","0,44%"
"31.12.2020","17,99","18,54","18,54","17,83","590,19K","-2,55%"
"30.12.2020","18,46","18,24","18,88","18,17","432,96K","1,60%"
"29.12.2020","18,17","18,77","18,87","17,97","1,14M","-3,35%"
"28.12.2020","18,80","19,65","19,87","18,71","1,10M","-4,08%"
"24.12.2020","19,60","20,08","20,12","19,51","363,24K","-2,39%"
"23.12.2020","20,08","20,47","20,47","19,70","902,80K","-1,57%"
"22.12.2020","20,40","19,81","20,45","19,46","1,03M","3,29%"
"21.12.2020","19,75","19,25","20,05","19,03","1,18M","1,18%"
"18.12.2020","19,52","20,16","20,53","19,44","1,64M","-4,03%"
"17.12.2020","20,34","20,25","20,50","19,80","1,22M","1,09%"
"16.12.2020","20,12","19,42","20,39","18,92","1,52M","4,25%"
"15.12.2020","19,30","19,65","19,85","18,85","1,14M","-1,48%"
"14.12.2020","19,59","19,13","19,90","19,10","1,24M","3,21%"
"11.12.2020","18,98","19,22","19,48","18,70","1,13M","-1,61%"
"10.12.2020","19,29","19,59","20,31","19,00","1,43M","2,66%"
"09.12.2020","18,79","20,46","21,03","18,43","2,07M","-7,44%"
"08.12.2020","20,30","17,99","20,44","17,99","2,36M","13,53%"
"07.12.2020","17,88","18,74","18,95","17,67","1,77M","-3,14%"
"04.12.2020","18,46","19,48","19,73","18,40","1,46M","-4,99%"
"03.12.2020","19,43","19,89","19,95","18,25","2,02M","-2,21%"
"02.12.2020","19,87","18,19","19,94","18,13","2,09M","6,83%"
"01.12.2020","18,60","20,05","20,26","17,11","3,89M","1,86%"
"30.11.2020","18,26","16,33","18,65","16,31","5,42M","27,69%"
"27.11.2020","14,30","14,00","14,50","13,71","750,54K","4,76%"
"25.11.2020","13,65","13,58","13,82","13,33","1,19M","0,37%"
"24.11.2020","13,60","12,69","13,69","12,65","1,60M","8,02%"
"23.11.2020","12,59","12,71","12,72","12,35","1,77M","-0,16%"
"20.11.2020","12,61","12,42","12,95","12,07","1,43M","4,04%"
"19.11.2020","12,12","12,32","12,42","12,05","1,08M","-1,46%"
"18.11.2020","12,30","14,11","14,22","12,27","2,29M","-10,74%"
"17.11.2020","13,78","13,18","14,05","13,18","1,67M","4,47%"
"16.11.2020","13,19","13,50","13,83","12,91","1,14M","3,21%"
"13.11.2020","12,78","12,81","13,00","12,51","970,45K","0,79%"
"12.11.2020","12,68","12,73","12,89","12,46","730,94K","0,71%"
"11.11.2020","12,59","12,98","13,28","12,53","640,20K","-2,55%"
"10.11.2020","12,92","12,99","13,46","12,50","1,05M","1,57%"
"09.11.2020","12,72","12,71","13,18","12,53","1,02M","5,47%"
"06.11.2020","12,06","12,02","12,22","11,43","781,99K","-0,17%"
"05.11.2020","12,08","12,23","12,41","11,77","1,11M","1,51%"
"04.11.2020","11,90","11,58","12,25","11,58","1,41M","2,67%"
"03.11.2020","11,59","11,37","11,76","11,32","2,42M","3,39%"
"02.11.2020","11,21","11,13","11,36","10,89","606,01K","2,00%"
"30.10.2020","10,99","11,14","11,36","10,81","655,46K","-1,79%"
"29.10.2020","11,19","11,12","11,33","10,88","730,92K","0,09%"
"28.10.2020","11,18","11,50","11,65","11,14","935,21K","-4,53%"
"27.10.2020","11,71","11,66","12,08","11,39","667,49K","0,00%"
"26.10.2020","11,71","12,53","12,59","11,64","1,04M","-7,50%"
"23.10.2020","12,66","12,80","12,98","12,50","303,47K","-1,09%"
"22.10.2020","12,80","12,45","12,85","12,34","630,07K","2,89%"
"21.10.2020","12,44","12,43","12,83","12,32","527,00K","-0,88%"
"20.10.2020","12,55","13,27","13,47","12,47","701,54K","-4,42%"
"19.10.2020","13,13","13,79","13,82","13,04","700,31K","-3,17%"
"16.10.2020","13,56","13,38","13,85","13,38","494,29K","2,11%"
"15.10.2020","13,28","13,20","13,31","12,99","600,07K","-0,90%"
"14.10.2020","13,40","13,29","13,55","13,05","722,43K","0,37%"
"13.10.2020","13,35","12,83","13,40","12,67","961,89K","3,09%"
"12.10.2020","12,95","12,63","13,08","12,43","808,03K","1,41%"
"09.10.2020","12,77","13,12","13,23","12,56","552,78K","-2,07%"
"08.10.2020","13,04","13,00","13,36","12,85","769,58K","2,68%"
"07.10.2020","12,70","12,46","12,92","12,44","996,57K","2,67%"
"06.10.2020","12,37","12,51","12,79","12,27","814,53K","-0,48%"
"05.10.2020","12,43","12,28","12,76","11,86","987,67K","6,19%"
"02.10.2020","11,70","11,44","12,05","11,33","688,40K","0,30%"
"01.10.2020","11,67","11,55","11,91","11,40","995,23K","1,04%"
"30.09.2020","11,55","12,03","12,10","11,44","826,88K","-3,10%"
"29.09.2020","11,92","12,14","12,40","11,83","606,73K","-2,53%"
"28.09.2020","12,23","12,31","12,70","12,13","691,22K","1,16%"
"25.09.2020","12,09","12,22","12,45","11,82","843,29K","-1,87%"
"24.09.2020","12,32","12,30","12,39","11,84","956,27K","-1,12%"
"23.09.2020","12,46","13,65","13,87","12,41","1,27M","-8,25%"
"22.09.2020","13,58","14,40","14,51","13,52","850,53K","-4,90%"
"21.09.2020","14,28","14,92","14,92","14,17","1,12M","-6,24%"
"18.09.2020","15,23","15,77","15,87","14,96","2,06M","-2,62%"
"17.09.2020","15,64","15,81","15,91","15,53","511,03K","-1,82%"
"16.09.2020","15,93","15,80","16,48","15,72","472,21K","1,72%"
"15.09.2020","15,66","16,59","16,85","15,55","967,24K","-5,26%"
"14.09.2020","16,53","16,03","17,30","16,00","1,01M","5,83%"
"11.09.2020","15,62","15,76","16,02","15,42","412,66K","-0,32%"
"10.09.2020","15,67","16,69","16,70","15,55","459,98K","-6,11%"
"09.09.2020","16,69","15,73","16,90","15,73","488,93K","8,52%"
"08.09.2020","15,38","14,76","15,72","14,46","485,01K","2,53%"
"04.09.2020","15,00","15,74","15,87","14,52","719,74K","-4,76%"
"03.09.2020","15,75","15,94","16,49","15,54","566,07K","-1,53%"
"02.09.2020","15,99","15,03","16,04","14,90","804,50K","6,28%"
"01.09.2020","15,05","15,41","15,75","14,98","501,32K","-1,95%"
"31.08.2020","15,35","15,67","15,79","15,06","1,17M","0,66%"
"28.08.2020","15,25","15,08","15,40","14,89","287,18K","0,59%"
"27.08.2020","15,16","15,32","15,43","14,88","424,93K","-2,26%"
"26.08.2020","15,51","15,58","15,75","15,29","364,15K","-0,70%"
"25.08.2020","15,62","15,47","15,66","15,12","377,30K","0,51%"
"24.08.2020","15,54","15,42","15,72","15,11","541,58K","1,04%"
"21.08.2020","15,38","16,15","16,35","15,33","464,91K","-5,53%"
"20.08.2020","16,28","15,73","16,32","15,50","702,29K","2,71%"
"19.08.2020","15,85","15,80","15,96","15,60","595,06K","0,32%"
"18.08.2020","15,80","17,04","17,04","15,69","875,79K","-5,45%"
"17.08.2020","16,71","16,15","16,93","16,04","1,09M","5,49%"
"14.08.2020","15,84","16,40","16,46","15,59","754,55K","-2,82%"
"13.08.2020","16,30","16,10","16,71","16,05","717,97K","0,99%"
"12.08.2020","16,14","15,80","16,30","15,70","741,76K","2,35%"
"11.08.2020","15,77","15,40","16,09","15,02","990,06K","3,48%"
"10.08.2020","15,24","15,73","16,34","15,17","733,84K","-2,62%"
"07.08.2020","15,65","16,42","16,81","15,29","1,35M","-4,63%"
"06.08.2020","16,41","16,61","17,35","15,70","894,24K","5,39%"
"05.08.2020","15,57","15,61","15,61","15,06","753,45K","1,17%"
"04.08.2020","15,39","15,70","15,72","14,91","695,39K","0,33%"
"03.08.2020","15,34","15,00","15,47","14,50","516,04K","4,57%"
"31.07.2020","14,67","15,81","15,99","14,46","632,03K","-7,27%"
"30.07.2020","15,82","16,05","16,31","15,60","557,21K","-2,22%"
"29.07.2020","16,18","16,79","17,06","16,04","469,16K","-2,76%"
"28.07.2020","16,64","17,87","17,93","16,62","519,06K","-7,50%"
"27.07.2020","17,99","17,45","17,99","17,42","255,00K","2,57%"
"24.07.2020","17,54","18,11","18,20","17,27","442,03K","-4,00%"
"23.07.2020","18,27","18,72","18,82","18,00","507,48K","0,72%"
"22.07.2020","18,14","18,16","18,56","17,60","464,78K","-0,66%"
"21.07.2020","18,26","19,24","19,24","18,13","463,25K","-4,15%"
"20.07.2020","19,05","19,14","19,52","18,79","371,16K","-0,21%"
"17.07.2020","19,09","19,42","19,72","18,92","476,82K","-1,55%"
"16.07.2020","19,39","20,18","20,30","19,24","404,32K","-5,60%"
"15.07.2020","20,54","21,12","21,36","20,39","429,18K","0,15%"
"14.07.2020","20,51","20,11","20,54","19,67","371,34K","2,04%"
"13.07.2020","20,10","20,62","21,55","20,09","444,96K","-1,40%"
"10.07.2020","20,39","21,31","21,73","20,29","536,20K","-4,52%"
"09.07.2020","21,35","21,38","21,87","21,26","495,80K","-0,84%"
"08.07.2020","21,53","21,38","21,68","20,52","446,89K","1,75%"
"07.07.2020","21,16","19,71","21,45","19,31","726,19K","6,98%"
"06.07.2020","19,78","21,61","21,61","19,66","1,05M","-8,17%"
"02.07.2020","21,54","24,46","24,51","21,48","1,18M","-9,31%"
