"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","159,60","159,33","160,30","159,19","5,47M","0,29%"
"11.03.2021","159,14","159,66","160,63","158,95","6,31M","-0,01%"
"10.03.2021","159,15","158,80","159,88","157,36","6,64M","0,92%"
"09.03.2021","157,70","157,20","160,70","157,20","7,46M","0,19%"
"08.03.2021","157,40","157,25","159,32","156,00","6,55M","0,83%"
"05.03.2021","156,10","153,98","156,69","153,13","8,33M","1,98%"
"04.03.2021","153,07","156,00","156,04","151,48","11,03M","-2,02%"
"03.03.2021","156,22","158,76","158,86","156,10","8,50M","-1,76%"
"02.03.2021","159,02","159,91","160,77","158,64","7,61M","-0,19%"
"01.03.2021","159,32","161,27","161,51","159,10","10,55M","0,54%"
"26.02.2021","158,46","162,00","162,41","157,97","14,42M","-2,64%"
"25.02.2021","162,76","163,10","163,69","162,01","9,72M","0,10%"
"24.02.2021","162,59","162,40","164,39","160,92","10,29M","1,34%"
"23.02.2021","160,44","161,30","163,14","160,40","7,04M","-0,88%"
"22.02.2021","161,87","161,91","162,52","160,31","6,45M","-0,68%"
"19.02.2021","162,98","165,60","165,96","162,91","8,19M","-1,67%"
"18.02.2021","165,74","165,18","166,15","164,34","5,19M","0,05%"
"17.02.2021","165,66","164,97","166,09","164,36","6,54M","0,36%"
"16.02.2021","165,07","166,58","167,05","164,64","5,59M","-0,91%"
"12.02.2021","166,58","164,40","166,85","164,00","4,41M","0,31%"
"11.02.2021","166,06","167,00","167,38","165,60","4,86M","-0,45%"
"10.02.2021","166,81","167,89","167,94","165,70","5,90M","0,32%"
"09.02.2021","166,27","165,20","166,59","164,97","5,53M","0,82%"
"08.02.2021","164,92","165,03","165,92","163,88","5,94M","0,29%"
"05.02.2021","164,45","164,86","165,44","163,86","9,50M","1,52%"
"04.02.2021","161,99","161,02","162,09","159,81","7,76M","0,93%"
"03.02.2021","160,50","161,00","161,50","159,60","8,60M","-0,47%"
"02.02.2021","161,25","163,49","163,59","161,19","11,44M","-0,90%"
"01.02.2021","162,71","165,07","165,12","162,68","9,97M","-0,26%"
"29.01.2021","163,13","164,26","166,00","160,55","22,51M","-3,56%"
"28.01.2021","169,16","168,23","170,84","167,88","8,94M","0,76%"
"27.01.2021","167,88","168,93","170,92","167,46","14,21M","-1,53%"
"26.01.2021","170,48","169,58","173,59","169,40","14,21M","2,71%"
"25.01.2021","165,98","164,90","166,06","163,68","9,92M","1,49%"
"22.01.2021","163,55","162,36","165,15","161,87","8,14M","1,13%"
"21.01.2021","161,73","161,32","162,48","160,06","6,82M","-0,40%"
"20.01.2021","162,38","163,20","164,14","161,80","6,84M","-0,25%"
"19.01.2021","162,78","161,94","163,01","161,22","9,06M","1,55%"
"15.01.2021","160,30","160,30","161,41","159,11","7,63M","-0,22%"
"14.01.2021","160,65","160,45","161,95","159,64","10,03M","1,75%"
"13.01.2021","157,89","158,20","158,44","156,80","6,64M","-0,15%"
"12.01.2021","158,13","159,16","159,32","157,34","6,90M","-0,78%"
"11.01.2021","159,37","160,64","161,30","158,77","7,07M","-0,42%"
"08.01.2021","160,04","160,51","161,10","159,88","8,23M","-0,21%"
"07.01.2021","160,37","159,08","161,03","158,36","7,75M","0,34%"
"06.01.2021","159,83","157,46","160,22","157,15","8,23M","0,94%"
"05.01.2021","158,34","156,42","158,69","155,07","9,60M","1,18%"
"04.01.2021","156,50","157,25","157,26","154,14","11,77M","-0,56%"
"31.12.2020","157,38","156,53","157,66","155,11","5,10M","0,85%"
