"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","62,39","59,80","62,50","58,59","7,75M","8,71%"
"16.03.2020","57,44","56,20","60,87","54,78","6,08M","-7,93%"
"17.03.2020","59,74","58,83","60,44","57,61","6,06M","4,00%"
"18.03.2020","55,89","57,63","57,63","50,51","6,47M","-6,44%"
"19.03.2020","54,32","55,71","57,15","51,51","6,26M","-2,81%"
"20.03.2020","52,10","55,05","55,83","50,06","5,79M","-4,09%"
"23.03.2020","50,97","52,11","53,34","50,75","5,71M","-2,17%"
"24.03.2020","53,73","53,53","54,47","51,39","7,75M","5,41%"
"25.03.2020","53,66","53,71","55,10","52,66","4,72M","-0,13%"
"26.03.2020","57,84","54,00","58,33","53,82","5,46M","7,79%"
"27.03.2020","56,39","56,09","58,09","56,00","4,00M","-2,51%"
"30.03.2020","58,00","56,17","58,32","55,60","3,63M","2,86%"
"31.03.2020","56,26","56,08","58,00","55,96","2,88M","-3,00%"
"01.04.2020","53,10","54,37","54,48","52,73","3,82M","-5,62%"
"02.04.2020","55,06","52,71","55,20","52,39","3,09M","3,69%"
"03.04.2020","54,22","54,52","54,93","53,67","2,79M","-1,53%"
"06.04.2020","58,07","56,67","58,31","55,46","4,76M","7,10%"
"07.04.2020","58,41","59,85","60,53","58,23","4,30M","0,59%"
"08.04.2020","60,26","58,16","60,55","57,92","2,20M","3,17%"
"09.04.2020","60,51","60,48","61,35","59,83","2,56M","0,41%"
"13.04.2020","59,53","60,26","60,59","58,70","2,71M","-1,62%"
"14.04.2020","64,41","60,80","64,44","60,11","4,84M","8,20%"
"15.04.2020","62,29","62,48","63,12","61,68","3,49M","-3,29%"
"16.04.2020","61,87","63,02","63,13","61,23","2,10M","-0,67%"
"17.04.2020","62,19","62,57","63,13","61,89","3,17M","0,52%"
"20.04.2020","61,38","61,80","62,04","60,91","2,85M","-1,30%"
"21.04.2020","59,04","59,87","60,42","58,80","2,11M","-3,81%"
"22.04.2020","60,12","60,10","60,58","59,15","2,44M","1,83%"
"23.04.2020","59,63","60,18","60,89","59,46","1,65M","-0,82%"
"24.04.2020","59,80","59,76","60,63","59,10","2,56M","0,29%"
"27.04.2020","60,52","60,60","60,74","59,63","2,92M","1,20%"
"28.04.2020","60,14","61,27","61,49","59,29","2,86M","-0,63%"
"29.04.2020","62,14","60,33","62,53","59,97","2,85M","3,33%"
"30.04.2020","61,81","62,34","62,70","61,13","3,52M","-0,53%"
"01.05.2020","59,52","61,26","61,46","59,17","1,78M","-3,70%"
"04.05.2020","59,21","59,24","59,58","58,73","1,92M","-0,52%"
"05.05.2020","60,65","59,49","61,76","59,22","2,78M","2,43%"
"06.05.2020","61,30","61,12","61,76","60,50","1,74M","1,07%"
"07.05.2020","62,09","61,75","63,10","61,65","2,21M","1,29%"
"08.05.2020","65,78","63,38","66,75","63,38","3,27M","5,94%"
"11.05.2020","66,40","64,75","67,05","64,75","2,05M","0,94%"
"12.05.2020","66,19","66,07","67,21","66,07","3,15M","-0,32%"
"13.05.2020","65,17","65,72","66,72","64,58","1,95M","-1,54%"
"14.05.2020","64,99","64,71","65,19","63,90","2,05M","-0,28%"
"15.05.2020","66,01","64,94","66,35","64,34","4,50M","1,57%"
"18.05.2020","66,62","67,55","67,81","66,22","2,21M","0,92%"
"19.05.2020","67,15","66,86","67,75","66,50","2,11M","0,80%"
"20.05.2020","69,41","67,72","69,55","67,72","2,57M","3,37%"
"21.05.2020","68,36","69,18","69,39","68,08","1,87M","-1,51%"
"22.05.2020","68,71","67,89","68,84","67,78","1,70M","0,51%"
"26.05.2020","69,01","70,25","70,65","68,73","2,90M","0,44%"
"27.05.2020","70,60","69,38","70,66","68,99","2,02M","2,30%"
"28.05.2020","70,87","71,11","71,64","69,72","3,07M","0,38%"
"29.05.2020","71,91","70,79","72,17","69,84","3,11M","1,47%"
"01.06.2020","72,59","72,81","73,43","72,03","1,77M","0,95%"
"02.06.2020","72,08","72,62","73,00","71,49","2,41M","-0,70%"
"03.06.2020","72,51","72,61","73,06","72,06","1,78M","0,60%"
"04.06.2020","70,92","72,34","73,11","70,29","2,95M","-2,19%"
"05.06.2020","72,23","71,52","72,31","70,49","2,75M","1,85%"
"08.06.2020","70,40","71,41","72,11","70,17","2,48M","-2,53%"
"09.06.2020","70,43","69,98","70,84","69,58","1,67M","0,04%"
"10.06.2020","70,44","70,72","70,99","70,01","1,46M","0,01%"
"11.06.2020","67,80","69,77","70,38","67,53","2,39M","-3,75%"
"12.06.2020","68,30","68,77","69,29","67,79","2,11M","0,74%"
"15.06.2020","68,80","67,19","68,86","66,62","1,69M","0,73%"
"16.06.2020","69,50","70,43","70,50","68,47","1,66M","1,02%"
"17.06.2020","69,54","69,95","70,46","69,33","1,55M","0,06%"
"18.06.2020","69,71","69,51","70,10","69,20","1,59M","0,24%"
"19.06.2020","70,08","70,69","70,95","69,43","4,33M","0,53%"
"22.06.2020","70,27","69,54","70,86","69,44","1,63M","0,27%"
"23.06.2020","70,18","70,86","71,04","69,99","1,45M","-0,13%"
"24.06.2020","68,07","69,55","70,13","67,87","2,16M","-3,01%"
"25.06.2020","69,06","68,08","69,14","67,37","1,75M","1,45%"
"26.06.2020","67,90","69,20","69,38","67,69","2,05M","-1,68%"
"29.06.2020","69,11","68,39","69,26","67,93","1,62M","1,78%"
"30.06.2020","69,32","69,09","69,51","68,58","1,93M","0,30%"
"01.07.2020","69,03","69,33","69,97","68,84","1,10M","-0,42%"
"02.07.2020","69,26","69,62","69,94","69,10","1,41M","0,33%"
"06.07.2020","71,31","70,27","71,35","69,97","2,60M","2,96%"
"07.07.2020","71,70","70,80","72,93","70,65","2,54M","0,55%"
"08.07.2020","71,76","72,11","72,82","71,22","1,67M","0,08%"
"09.07.2020","71,05","71,65","72,04","70,52","1,53M","-0,99%"
"10.07.2020","71,65","71,08","71,67","70,11","1,19M","0,84%"
"13.07.2020","70,55","72,49","72,49","70,24","2,63M","-1,54%"
"14.07.2020","71,63","69,77","71,75","69,54","2,06M","1,53%"
"15.07.2020","72,19","71,87","72,59","71,00","2,21M","0,78%"
"16.07.2020","72,62","71,79","72,64","71,61","1,49M","0,60%"
"17.07.2020","74,22","73,30","74,62","72,43","5,77M","2,20%"
"20.07.2020","73,87","74,50","74,95","73,59","1,85M","-0,47%"
"21.07.2020","75,00","74,50","75,76","74,35","2,56M","1,53%"
"22.07.2020","75,73","75,41","76,09","75,34","2,12M","0,97%"
"23.07.2020","74,93","76,16","76,50","74,80","2,20M","-1,06%"
"24.07.2020","74,88","75,06","75,49","74,59","1,59M","-0,07%"
"27.07.2020","76,43","75,29","76,73","75,27","2,03M","2,07%"
"28.07.2020","76,19","76,93","77,02","75,93","1,74M","-0,31%"
"29.07.2020","77,31","76,22","77,51","75,81","1,49M","1,47%"
"30.07.2020","77,82","76,73","78,00","76,01","2,16M","0,66%"
"31.07.2020","78,48","77,76","78,48","76,81","2,10M","0,85%"
"03.08.2020","77,84","78,69","78,79","77,15","1,57M","-0,82%"
"04.08.2020","78,01","77,48","78,25","77,21","2,49M","0,22%"
"05.08.2020","83,10","82,03","83,96","81,31","3,53M","6,52%"
"06.08.2020","83,51","82,98","83,82","82,62","2,18M","0,49%"
