"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","16,68","16,44","16,69","16,13","1,85M","-0,30%"
"11.03.2021","16,73","16,47","17,01","16,31","2,55M","3,78%"
"10.03.2021","16,12","16,98","16,98","16,00","3,91M","-4,05%"
"09.03.2021","16,80","16,33","16,96","16,26","3,08M","5,40%"
"08.03.2021","15,94","16,24","16,45","15,83","3,75M","-3,57%"
"05.03.2021","16,53","16,33","16,59","15,68","4,34M","2,54%"
"04.03.2021","16,12","16,16","16,36","15,70","5,51M","-1,65%"
"03.03.2021","16,39","16,83","17,00","16,31","2,70M","-2,09%"
"02.03.2021","16,74","17,05","17,44","16,74","3,23M","-0,95%"
"01.03.2021","16,90","16,36","16,95","16,32","3,56M","6,69%"
"26.02.2021","15,84","16,03","16,42","15,52","4,52M","-2,10%"
"25.02.2021","16,18","17,06","17,35","16,13","3,86M","-4,49%"
"24.02.2021","16,94","16,69","17,03","16,30","3,25M","1,93%"
"23.02.2021","16,62","16,57","16,78","15,99","5,20M","-2,00%"
"22.02.2021","16,96","17,59","17,98","16,96","7,99M","-7,02%"
"19.02.2021","18,24","18,77","18,99","18,18","4,04M","-1,19%"
"18.02.2021","18,46","18,60","18,66","17,89","6,19M","-4,85%"
"17.02.2021","19,40","18,89","19,92","18,88","5,99M","-3,39%"
"16.02.2021","20,08","20,80","20,99","19,78","10,27M","0,50%"
"12.02.2021","19,98","18,50","20,27","18,33","11,22M","6,67%"
"11.02.2021","18,73","18,62","19,04","18,12","7,97M","3,03%"
"10.02.2021","18,18","18,00","19,17","17,98","9,92M","2,19%"
"09.02.2021","17,79","16,80","17,82","16,70","4,87M","6,98%"
"08.02.2021","16,63","17,48","17,56","16,51","7,91M","-4,37%"
"05.02.2021","17,39","17,49","17,52","16,87","6,43M","2,41%"
"04.02.2021","16,98","18,25","18,25","16,78","8,53M","-3,30%"
"03.02.2021","17,56","16,52","17,68","16,50","7,05M","7,73%"
"02.02.2021","16,30","15,94","16,56","15,94","3,28M","3,95%"
"01.02.2021","15,68","15,53","15,83","15,41","1,79M","2,62%"
"29.01.2021","15,28","16,01","16,19","15,26","3,19M","-4,74%"
"28.01.2021","16,04","16,44","16,49","15,84","3,39M","-1,78%"
"27.01.2021","16,33","16,93","17,58","16,28","5,96M","-3,66%"
"26.01.2021","16,95","16,77","17,08","16,32","5,88M","2,60%"
"25.01.2021","16,52","15,76","16,79","15,50","7,51M","5,09%"
"22.01.2021","15,72","15,34","15,91","15,31","3,08M","1,22%"
"21.01.2021","15,53","15,65","15,84","15,22","2,83M","-1,21%"
"20.01.2021","15,72","15,67","16,05","15,50","4,89M","1,62%"
"19.01.2021","15,47","14,95","15,91","14,88","5,88M","5,45%"
"15.01.2021","14,67","15,19","15,24","14,47","4,76M","-3,23%"
"14.01.2021","15,16","16,09","16,20","15,15","6,98M","-5,90%"
"13.01.2021","16,11","15,55","16,71","15,55","12,48M","4,00%"
"12.01.2021","15,49","13,84","15,74","13,84","19,55M","11,52%"
"11.01.2021","13,89","13,92","14,19","13,84","2,45M","-1,98%"
"08.01.2021","14,17","13,90","14,35","13,82","4,21M","1,72%"
"07.01.2021","13,93","13,99","14,02","13,68","2,55M","0,07%"
"06.01.2021","13,92","13,80","14,26","13,70","3,06M","0,22%"
"05.01.2021","13,89","13,80","14,07","13,71","2,27M","1,68%"
"04.01.2021","13,66","13,87","14,32","13,65","4,09M","-2,15%"
"31.12.2020","13,96","13,70","14,20","13,57","4,00M","2,72%"
"30.12.2020","13,59","13,39","14,05","13,37","5,46M","0,97%"
"29.12.2020","13,46","13,02","13,64","13,02","3,08M","3,54%"
"28.12.2020","13,00","13,23","13,30","12,84","3,19M","-1,66%"
"24.12.2020","13,22","13,40","13,42","13,07","2,25M","-2,00%"
"23.12.2020","13,49","13,56","13,66","13,16","4,37M","-0,52%"
"22.12.2020","13,56","13,77","13,93","13,37","2,65M","-1,24%"
"21.12.2020","13,73","13,43","13,80","13,38","4,73M","-0,22%"
"18.12.2020","13,76","13,59","13,95","13,53","5,09M","0,22%"
"17.12.2020","13,73","13,46","13,77","13,26","2,88M","2,23%"
"16.12.2020","13,43","12,76","13,46","12,70","4,33M","4,27%"
"15.12.2020","12,88","13,35","13,35","12,52","7,27M","-3,23%"
"14.12.2020","13,31","13,15","13,35","13,02","4,40M","2,31%"
"11.12.2020","13,01","13,60","13,65","13,01","5,62M","-4,20%"
"10.12.2020","13,58","13,81","13,88","13,46","2,80M","-1,24%"
"09.12.2020","13,75","13,82","14,22","13,63","4,25M","-0,87%"
"08.12.2020","13,87","13,29","13,91","13,08","5,06M","4,36%"
"07.12.2020","13,29","13,47","13,58","13,20","4,54M","-2,21%"
"04.12.2020","13,59","13,94","14,12","13,53","4,88M","-1,74%"
"03.12.2020","13,83","13,63","14,08","13,63","4,72M","3,60%"
"02.12.2020","13,35","13,65","13,74","13,20","6,52M","-1,62%"
"01.12.2020","13,57","13,98","14,00","12,93","11,19M","-5,63%"
"30.11.2020","14,38","15,20","15,20","14,30","7,74M","-4,89%"
"27.11.2020","15,12","15,20","15,27","14,92","3,43M","1,20%"
"25.11.2020","14,94","15,05","15,07","14,72","2,71M","-1,45%"
"24.11.2020","15,16","14,83","15,27","14,57","3,37M","2,85%"
"23.11.2020","14,74","15,22","15,22","14,70","3,71M","-3,72%"
"20.11.2020","15,31","15,26","15,39","15,04","2,37M","0,46%"
"19.11.2020","15,24","14,96","15,30","14,78","3,65M","1,87%"
"18.11.2020","14,96","15,67","15,70","14,95","3,48M","-4,77%"
"17.11.2020","15,71","15,96","15,99","15,27","3,05M","-0,44%"
"16.11.2020","15,78","16,11","16,24","15,60","2,28M","-0,57%"
"13.11.2020","15,87","15,72","16,09","15,46","3,20M","4,00%"
"12.11.2020","15,26","15,80","16,09","15,23","4,15M","-3,60%"
"11.11.2020","15,83","14,88","16,46","14,85","7,48M","6,38%"
"10.11.2020","14,88","15,00","15,23","14,56","3,26M","-0,80%"
"09.11.2020","15,00","15,01","15,43","14,80","3,90M","3,23%"
"06.11.2020","14,53","15,17","15,25","14,46","3,59M","-4,34%"
"05.11.2020","15,19","14,69","15,32","14,42","3,75M","4,83%"
"04.11.2020","14,49","14,40","14,68","14,31","3,96M","1,47%"
"03.11.2020","14,28","14,92","14,99","14,20","3,23M","-4,03%"
"02.11.2020","14,88","15,10","15,19","14,52","2,54M","-0,80%"
"30.10.2020","15,00","15,27","15,38","14,66","1,98M","-3,10%"
"29.10.2020","15,48","15,18","15,71","15,11","2,93M","2,11%"
"28.10.2020","15,16","15,39","15,46","15,03","2,75M","-4,41%"
"27.10.2020","15,86","15,23","16,17","14,99","4,93M","4,48%"
"26.10.2020","15,18","15,08","15,67","14,81","8,97M","-0,20%"
"23.10.2020","15,21","14,71","15,43","14,53","3,96M","3,75%"
"22.10.2020","14,66","14,35","14,68","14,29","1,45M","1,88%"
"21.10.2020","14,39","14,25","14,44","14,07","2,14M","0,98%"
