"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","158,83","147,50","161,91","140,73","92,73M","14,22%"
"16.03.2020","135,42","140,00","149,35","135,00","87,91M","-14,74%"
"17.03.2020","146,57","140,00","147,50","135,00","81,06M","8,23%"
"18.03.2020","140,40","137,00","145,90","135,07","81,59M","-4,21%"
"19.03.2020","142,71","142,39","150,07","139,10","85,92M","1,65%"
"20.03.2020","137,35","146,00","147,10","135,86","84,87M","-3,76%"
"23.03.2020","135,98","137,01","140,57","132,52","78,98M","-1,00%"
"24.03.2020","148,34","143,99","149,56","141,29","82,52M","9,09%"
"25.03.2020","146,92","149,00","154,30","144,59","75,64M","-0,96%"
"26.03.2020","156,11","149,00","156,60","149,00","64,69M","6,26%"
"27.03.2020","149,70","151,75","154,88","149,24","57,04M","-4,11%"
"30.03.2020","160,23","152,44","160,60","150,01","63,42M","7,03%"
"31.03.2020","157,71","159,40","164,78","156,56","77,93M","-1,57%"
"01.04.2020","152,11","153,00","157,75","150,82","57,97M","-3,55%"
"02.04.2020","155,26","151,86","155,48","150,36","49,63M","2,07%"
"03.04.2020","153,83","155,10","157,38","152,19","41,24M","-0,92%"
"06.04.2020","165,27","160,32","166,50","157,58","67,11M","7,44%"
"07.04.2020","163,49","169,59","170,00","163,26","62,77M","-1,08%"
"08.04.2020","165,13","165,67","166,67","163,50","48,32M","1,00%"
"09.04.2020","165,14","166,36","167,37","163,33","51,43M","0,01%"
"13.04.2020","165,51","164,35","165,57","162,30","41,91M","0,22%"
"14.04.2020","173,70","169,00","173,75","168,00","52,87M","4,95%"
"15.04.2020","171,88","171,20","173,57","169,24","40,94M","-1,05%"
"16.04.2020","177,04","174,30","177,28","172,90","50,48M","3,00%"
"17.04.2020","178,60","179,50","180,00","175,87","52,77M","0,88%"
"20.04.2020","175,06","176,63","178,75","174,99","36,67M","-1,98%"
"21.04.2020","167,82","173,50","173,67","166,11","56,20M","-4,14%"
"22.04.2020","173,52","171,39","174,00","170,82","34,65M","3,40%"
"23.04.2020","171,42","174,11","175,06","170,91","32,79M","-1,21%"
"24.04.2020","174,55","172,06","174,56","170,71","34,31M","1,83%"
"27.04.2020","174,05","176,59","176,90","173,30","33,19M","-0,29%"
"28.04.2020","169,81","175,59","175,67","169,39","34,39M","-2,44%"
"29.04.2020","177,43","173,22","177,68","171,88","51,29M","4,49%"
"30.04.2020","179,21","180,00","180,40","176,23","53,88M","1,00%"
"01.05.2020","174,57","175,80","178,64","174,01","39,37M","-2,59%"
"04.05.2020","178,84","174,49","179,00","173,80","30,37M","2,45%"
"05.05.2020","180,76","180,62","183,65","179,90","36,84M","1,07%"
"06.05.2020","182,54","182,08","184,20","181,63","32,14M","0,98%"
"07.05.2020","183,60","184,17","184,55","182,58","28,32M","0,58%"
"08.05.2020","184,68","184,98","185,00","183,36","30,91M","0,59%"
"11.05.2020","186,74","183,15","187,51","182,85","30,89M","1,12%"
"12.05.2020","182,51","186,80","187,04","182,30","32,04M","-2,27%"
"13.05.2020","179,75","182,55","184,03","176,61","44,71M","-1,51%"
"14.05.2020","180,53","177,60","180,65","175,70","41,87M","0,43%"
"15.05.2020","183,16","179,15","183,46","177,02","46,61M","1,46%"
"18.05.2020","184,91","185,32","186,20","184,06","35,31M","0,96%"
"19.05.2020","183,63","184,97","186,57","183,57","26,80M","-0,69%"
"20.05.2020","185,66","184,64","185,80","183,96","31,26M","1,11%"
"21.05.2020","183,43","185,60","186,66","183,31","29,12M","-1,20%"
"22.05.2020","183,51","183,19","184,46","182,54","20,83M","0,04%"
"26.05.2020","181,57","186,46","186,46","181,14","36,07M","-1,06%"
"27.05.2020","181,81","180,06","181,96","176,61","39,52M","0,13%"
"28.05.2020","181,40","180,83","184,14","180,42","33,83M","-0,23%"
"29.05.2020","183,25","182,73","184,27","180,41","42,15M","1,02%"
"01.06.2020","182,83","182,35","182,99","181,48","22,67M","-0,23%"
"02.06.2020","184,91","184,25","185,00","181,35","30,79M","1,14%"
"03.06.2020","185,36","184,97","185,72","183,58","27,31M","0,24%"
"04.06.2020","182,92","184,34","185,83","182,31","28,76M","-1,32%"
"05.06.2020","187,20","182,62","187,73","182,01","39,89M","2,34%"
"08.06.2020","188,36","185,91","188,49","184,45","33,21M","0,62%"
"09.06.2020","189,80","188,14","190,70","187,29","29,78M","0,76%"
"10.06.2020","196,84","191,13","198,50","191,09","43,87M","3,71%"
"11.06.2020","186,27","193,04","195,73","186,16","52,85M","-5,37%"
"12.06.2020","187,74","190,54","191,72","185,18","43,37M","0,79%"
"15.06.2020","188,94","184,06","190,80","184,06","32,77M","0,64%"
"16.06.2020","193,57","192,85","195,53","191,50","42,56M","2,45%"
"17.06.2020","194,24","194,93","196,32","193,76","25,69M","0,35%"
"18.06.2020","196,32","194,01","196,47","194,01","23,06M","1,07%"
"19.06.2020","195,15","198,55","199,28","194,40","44,44M","-0,60%"
"22.06.2020","200,57","195,68","200,71","195,24","32,82M","2,78%"
"23.06.2020","201,91","201,88","203,93","201,49","30,92M","0,67%"
"24.06.2020","197,84","201,77","203,22","196,61","36,74M","-2,02%"
"25.06.2020","200,34","197,86","200,54","195,48","27,80M","1,26%"
"26.06.2020","196,33","199,53","199,84","194,90","54,68M","-2,00%"
"29.06.2020","198,44","195,58","198,51","193,57","26,70M","1,07%"
"30.06.2020","203,51","197,90","204,32","197,77","34,31M","2,55%"
"01.07.2020","204,70","203,14","206,35","201,77","32,06M","0,58%"
"02.07.2020","206,26","205,68","208,02","205,00","29,32M","0,76%"
"06.07.2020","210,70","208,73","211,12","208,10","31,90M","2,15%"
"07.07.2020","208,25","210,45","214,67","207,99","33,60M","-1,16%"
"08.07.2020","212,83","210,00","213,24","208,70","33,60M","2,20%"
"09.07.2020","214,32","216,31","216,35","211,54","33,12M","0,70%"
"10.07.2020","213,67","213,62","214,08","211,08","26,18M","-0,30%"
"13.07.2020","207,07","214,80","215,80","206,69","38,14M","-3,09%"
"14.07.2020","208,35","205,25","208,82","202,18","37,59M","0,62%"
"15.07.2020","208,04","209,63","211,28","205,07","32,18M","-0,15%"
"16.07.2020","203,92","205,21","205,59","202,35","29,94M","-1,98%"
"17.07.2020","202,88","204,47","205,04","201,39","31,64M","-0,51%"
"20.07.2020","211,60","205,00","212,30","203,01","36,88M","4,30%"
"21.07.2020","208,75","213,31","213,31","208,06","38,11M","-1,35%"
"22.07.2020","211,75","209,17","212,27","208,40","49,61M","1,44%"
"23.07.2020","202,54","207,13","210,86","202,22","67,46M","-4,35%"
"24.07.2020","201,30","200,42","202,86","197,51","39,83M","-0,61%"
"27.07.2020","203,85","201,87","203,97","200,89","30,16M","1,27%"
"28.07.2020","202,02","203,87","204,67","201,95","23,25M","-0,90%"
"29.07.2020","204,06","202,50","204,65","202,01","19,63M","1,01%"
"30.07.2020","203,90","201,07","204,41","199,64","25,08M","-0,08%"
"31.07.2020","205,01","204,40","205,10","199,01","51,25M","0,54%"
"03.08.2020","216,54","211,69","217,62","210,54","78,98M","5,62%"
"04.08.2020","213,29","214,27","214,76","210,36","49,28M","-1,50%"
"05.08.2020","212,94","214,65","214,65","211,57","28,86M","-0,16%"
"06.08.2020","216,35","212,45","216,37","211,61","32,66M","1,60%"
"07.08.2020","212,48","214,85","215,70","210,93","27,82M","-1,79%"
"10.08.2020","208,25","211,38","211,38","206,35","36,72M","-1,99%"
"11.08.2020","203,38","207,16","207,62","203,14","36,45M","-2,34%"
"12.08.2020","209,19","205,37","210,25","204,82","28,04M","2,86%"
"13.08.2020","208,70","209,57","211,33","208,21","22,59M","-0,23%"
"14.08.2020","208,90","208,76","209,59","207,51","17,96M","0,10%"
"17.08.2020","210,28","209,68","211,18","208,94","20,18M","0,66%"
"18.08.2020","211,49","210,63","212,35","209,22","21,34M","0,58%"
"19.08.2020","209,70","211,56","212,09","209,39","27,63M","-0,85%"
"20.08.2020","214,58","209,54","214,99","208,96","26,98M","2,33%"
"21.08.2020","213,02","213,86","216,25","212,85","36,25M","-0,73%"
"24.08.2020","213,69","214,80","215,51","212,49","25,46M","0,31%"
"25.08.2020","216,47","213,10","216,52","213,10","23,04M","1,30%"
"26.08.2020","221,15","217,85","222,08","217,40","39,60M","2,16%"
"27.08.2020","226,58","222,53","231,09","219,42","57,60M","2,46%"
"28.08.2020","228,91","228,18","230,64","226,58","26,29M","1,03%"
"31.08.2020","225,53","227,00","228,61","224,36","28,77M","-1,48%"
"01.09.2020","227,27","225,51","227,45","224,43","24,85M","0,77%"
"02.09.2020","231,65","227,72","232,86","227,59","34,08M","1,93%"
"03.09.2020","217,30","229,04","229,31","215,01","58,40M","-6,19%"
"04.09.2020","214,25","215,10","218,36","205,19","59,66M","-1,40%"
"08.09.2020","202,66","206,46","209,93","202,41","52,92M","-5,41%"
"09.09.2020","211,29","207,90","214,82","206,85","45,68M","4,26%"
"10.09.2020","205,37","213,51","214,65","204,11","35,46M","-2,80%"
"11.09.2020","204,03","207,20","208,63","201,24","33,62M","-0,65%"
"14.09.2020","205,41","204,43","209,18","204,04","30,38M","0,68%"
"15.09.2020","208,78","208,18","209,73","207,00","21,82M","1,64%"
"16.09.2020","205,05","210,06","210,06","204,80","26,37M","-1,79%"
"17.09.2020","202,91","200,00","204,28","200,00","34,01M","-1,04%"
"18.09.2020","200,39","202,80","203,65","196,25","55,23M","-1,24%"
"21.09.2020","202,54","196,98","202,58","196,43","39,84M","1,07%"
"22.09.2020","207,42","205,03","208,08","202,12","33,52M","2,41%"
"23.09.2020","200,59","207,55","208,02","200,06","30,80M","-3,29%"
"24.09.2020","203,19","199,35","205,57","199,35","31,20M","1,30%"
"25.09.2020","207,82","203,55","209,04","202,54","29,44M","2,28%"
"28.09.2020","209,44","211,06","212,51","208,08","32,00M","0,78%"
"29.09.2020","207,26","209,53","210,07","206,83","24,46M","-1,04%"
"30.09.2020","210,33","207,72","211,96","206,57","33,83M","1,48%"
"01.10.2020","212,46","213,59","213,98","211,39","27,16M","1,01%"
"02.10.2020","206,19","208,00","210,99","205,54","33,15M","-2,95%"
"05.10.2020","210,38","207,22","210,41","206,98","21,33M","2,03%"
"06.10.2020","205,91","208,87","210,16","205,00","28,55M","-2,12%"
"07.10.2020","209,83","207,27","209,99","206,77","25,68M","1,90%"
"08.10.2020","210,58","210,50","211,17","208,42","19,93M","0,36%"
"09.10.2020","215,81","211,23","215,86","211,23","26,46M","2,48%"
"12.10.2020","221,40","218,71","223,84","216,82","40,46M","2,59%"
"13.10.2020","222,86","222,30","225,08","220,46","28,95M","0,66%"
"14.10.2020","220,86","222,98","224,18","219,14","23,45M","-0,90%"
"15.10.2020","219,66","216,80","220,32","216,47","22,73M","-0,54%"
"16.10.2020","219,66","220,15","222,29","219,32","26,06M","0,00%"
"19.10.2020","214,22","220,40","222,25","213,74","27,63M","-2,48%"
"20.10.2020","214,65","215,70","217,34","213,13","22,75M","0,20%"
"21.10.2020","214,80","213,33","216,91","213,33","22,72M","0,07%"
"22.10.2020","214,89","214,00","215,96","211,79","22,35M","0,04%"
"23.10.2020","216,23","215,03","216,28","213,16","18,88M","0,62%"
"26.10.2020","210,08","213,73","216,30","208,16","37,11M","-2,84%"
"27.10.2020","213,25","211,65","214,67","210,33","36,70M","1,51%"
"28.10.2020","202,68","207,65","208,72","202,13","51,20M","-4,96%"
"29.10.2020","204,72","204,07","207,36","203,37","31,43M","1,01%"
"30.10.2020","202,47","203,50","204,29","199,62","36,98M","-1,10%"
"02.11.2020","202,33","204,29","205,28","200,12","30,84M","-0,07%"
"03.11.2020","206,43","203,89","208,12","203,12","27,51M","2,03%"
"04.11.2020","216,39","214,02","218,32","212,42","42,31M","4,82%"
"05.11.2020","223,29","221,91","224,09","221,29","36,08M","3,19%"
"06.11.2020","223,72","222,26","224,36","218,03","25,23M","0,19%"
"09.11.2020","218,39","224,44","228,11","218,13","44,39M","-2,38%"
"10.11.2020","211,01","214,46","216,50","209,76","44,05M","-3,38%"
"11.11.2020","216,55","212,56","218,03","212,22","29,44M","2,63%"
"12.11.2020","215,44","217,00","219,09","214,53","21,62M","-0,51%"
"13.11.2020","216,51","216,36","217,42","214,16","18,63M","0,50%"
"16.11.2020","217,23","215,17","217,67","214,57","24,95M","0,33%"
"17.11.2020","214,46","216,43","217,61","214,09","24,15M","-1,28%"
"18.11.2020","211,08","213,62","215,13","210,99","28,37M","-1,58%"
"19.11.2020","212,42","211,57","212,99","209,93","24,79M","0,63%"
"20.11.2020","210,39","212,20","213,29","210,00","22,84M","-0,96%"
"23.11.2020","210,11","210,97","212,27","208,18","25,68M","-0,13%"
"24.11.2020","213,86","210,06","214,24","208,93","33,98M","1,78%"
"25.11.2020","213,87","214,14","214,91","212,52","21,01M","0,00%"
"27.11.2020","215,23","214,85","216,27","214,04","14,51M","0,64%"
"30.11.2020","214,07","214,00","214,75","210,85","33,06M","-0,54%"
"01.12.2020","216,21","214,51","217,32","213,35","30,50M","1,00%"
"02.12.2020","215,37","214,89","215,39","212,82","23,72M","-0,39%"
"03.12.2020","214,24","214,66","216,37","213,72","25,12M","-0,52%"
