"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","3,504","3,482","3,519","3,447","19,33M","0,70%"
"11.03.2021","3,480","3,444","3,491","3,415","20,10M","2,35%"
"10.03.2021","3,400","3,385","3,434","3,366","20,86M","0,15%"
"09.03.2021","3,395","3,322","3,395","3,309","15,90M","1,97%"
"08.03.2021","3,329","3,306","3,330","3,246","20,11M","3,08%"
"05.03.2021","3,230","3,250","3,278","3,211","29,50M","-1,73%"
"04.03.2021","3,287","3,311","3,349","3,264","26,23M","-1,85%"
"03.03.2021","3,349","3,395","3,409","3,329","16,05M","-0,99%"
"02.03.2021","3,382","3,329","3,430","3,300","18,11M","0,49%"
"01.03.2021","3,366","3,320","3,373","3,308","20,47M","2,00%"
"26.02.2021","3,300","3,348","3,348","3,289","35,82M","-4,01%"
"25.02.2021","3,438","3,438","3,579","3,405","51,23M","4,63%"
"24.02.2021","3,286","3,262","3,304","3,243","19,80M","0,00%"
"23.02.2021","3,286","3,300","3,319","3,200","35,36M","-1,60%"
"22.02.2021","3,340","3,386","3,391","3,319","17,83M","-1,61%"
"19.02.2021","3,395","3,410","3,437","3,395","18,03M","-0,70%"
"18.02.2021","3,418","3,400","3,479","3,388","21,24M","0,50%"
"17.02.2021","3,401","3,420","3,443","3,391","17,91M","-0,98%"
"16.02.2021","3,435","3,517","3,523","3,430","20,32M","-2,14%"
"15.02.2021","3,510","3,480","3,516","3,447","12,17M","0,96%"
"12.02.2021","3,477","3,410","3,478","3,386","23,23M","1,50%"
"11.02.2021","3,425","3,407","3,470","3,407","17,29M","-0,75%"
"10.02.2021","3,451","3,485","3,539","3,401","22,98M","-1,37%"
"09.02.2021","3,499","3,543","3,568","3,463","21,22M","-1,23%"
"08.02.2021","3,543","3,560","3,605","3,534","20,80M","-1,03%"
"05.02.2021","3,579","3,632","3,670","3,533","30,81M","-3,26%"
"04.02.2021","3,700","3,710","3,891","3,618","46,60M","-2,30%"
"03.02.2021","3,787","3,749","3,877","3,728","39,72M","1,26%"
"02.02.2021","3,740","3,950","4,010","3,620","52,67M","-5,30%"
"01.02.2021","3,950","3,900","4,077","3,821","45,77M","-0,37%"
"29.01.2021","3,964","3,934","4,246","3,893","110,06M","3,85%"
"28.01.2021","3,817","4,730","4,951","3,730","295,32M","-13,25%"
"27.01.2021","4,400","3,870","4,494","3,787","151,40M","13,84%"
"26.01.2021","3,865","4,102","4,282","3,816","148,17M","0,95%"
"25.01.2021","3,829","3,472","3,960","3,462","94,40M","12,92%"
"22.01.2021","3,391","3,427","3,431","3,366","15,95M","-1,02%"
"21.01.2021","3,425","3,430","3,457","3,378","20,04M","0,00%"
"20.01.2021","3,425","3,368","3,455","3,355","25,22M","3,66%"
"19.01.2021","3,305","3,333","3,338","3,272","14,14M","0,14%"
