"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","11,27","10,83","11,31","10,50","1,43M","3,11%"
"11.03.2021","10,93","10,47","10,97","10,37","1,39M","8,65%"
"10.03.2021","10,06","10,40","10,70","9,55","3,17M","0,60%"
"09.03.2021","10,00","9,99","10,38","9,84","1,53M","4,93%"
"08.03.2021","9,53","10,15","10,20","9,53","1,94M","-7,48%"
"05.03.2021","10,30","10,74","10,74","9,97","1,85M","-4,19%"
"04.03.2021","10,75","11,08","11,08","10,52","1,30M","-3,41%"
"03.03.2021","11,13","11,10","11,42","10,81","1,89M","0,45%"
"02.03.2021","11,08","11,00","11,42","10,56","2,49M","0,18%"
"01.03.2021","11,06","10,98","11,17","10,80","1,74M","4,34%"
"26.02.2021","10,60","10,57","10,79","10,25","1,27M","-0,84%"
"25.02.2021","10,69","10,96","11,04","10,54","952,34K","-1,47%"
"24.02.2021","10,85","10,80","11,06","10,50","1,19M","5,14%"
"23.02.2021","10,32","10,82","10,86","10,11","1,68M","-4,71%"
"22.02.2021","10,83","11,60","11,61","10,73","1,89M","-5,25%"
"19.02.2021","11,43","12,43","12,62","11,05","2,91M","-10,91%"
"18.02.2021","12,83","13,00","13,03","12,53","638,65K","-2,51%"
"17.02.2021","13,16","13,60","13,60","12,80","716,95K","-3,24%"
"16.02.2021","13,60","14,22","14,22","13,33","758,58K","-3,95%"
"12.02.2021","14,16","13,90","14,34","13,57","578,54K","2,61%"
"11.02.2021","13,80","14,35","14,50","13,73","689,11K","-2,54%"
"10.02.2021","14,16","14,56","14,74","13,94","587,08K","-1,94%"
"09.02.2021","14,44","14,19","14,50","14,14","670,26K","0,91%"
"08.02.2021","14,31","14,78","15,05","14,29","638,57K","-1,72%"
"05.02.2021","14,56","13,95","14,71","13,78","666,49K","3,34%"
"04.02.2021","14,09","14,15","14,19","13,75","672,55K","-1,61%"
"03.02.2021","14,32","14,53","14,62","14,02","724,55K","-1,51%"
"02.02.2021","14,54","15,45","15,49","14,36","960,93K","-5,71%"
"01.02.2021","15,42","15,27","15,90","15,20","1,04M","1,25%"
"29.01.2021","15,23","14,55","15,68","14,50","1,49M","4,60%"
"28.01.2021","14,56","13,84","14,80","13,83","976,46K","4,82%"
"27.01.2021","13,89","13,99","14,29","13,70","658,68K","-1,91%"
"26.01.2021","14,16","14,65","14,65","13,96","563,47K","-1,53%"
"25.01.2021","14,38","13,84","14,50","13,81","669,33K","3,68%"
"22.01.2021","13,87","13,38","13,93","13,33","656,32K","2,44%"
"21.01.2021","13,54","13,54","13,92","13,24","917,60K","1,58%"
"20.01.2021","13,33","13,68","13,80","13,01","921,79K","-2,42%"
"19.01.2021","13,66","13,02","13,73","12,81","1,01M","5,73%"
"15.01.2021","12,92","12,90","13,25","12,72","697,93K","0,47%"
"14.01.2021","12,86","12,70","13,44","12,51","880,45K","2,23%"
"13.01.2021","12,58","12,60","12,91","12,39","1,08M","0,16%"
"12.01.2021","12,56","12,39","12,58","12,26","1,08M","2,16%"
"11.01.2021","12,30","11,66","12,38","11,54","1,03M","3,32%"
"08.01.2021","11,90","11,93","12,03","11,42","1,22M","-0,17%"
"07.01.2021","11,92","11,79","12,38","11,68","948,84K","1,19%"
"06.01.2021","11,78","11,89","12,12","11,52","1,28M","-1,42%"
"05.01.2021","11,95","11,05","12,10","11,05","1,36M","6,60%"
"04.01.2021","11,21","10,56","11,23","10,44","1,32M","5,90%"
"31.12.2020","10,59","10,66","10,75","10,42","957,97K","-0,89%"
"30.12.2020","10,68","10,31","10,71","10,25","1,30M","3,19%"
"29.12.2020","10,35","10,78","10,78","10,23","1,02M","-3,99%"
"28.12.2020","10,78","11,64","11,65","10,71","991,66K","-7,07%"
"24.12.2020","11,60","11,69","11,80","11,41","440,41K","-0,43%"
"23.12.2020","11,65","12,53","12,58","11,56","1,22M","-1,02%"
"22.12.2020","11,77","11,75","11,88","11,43","724,24K","0,51%"
"21.12.2020","11,71","11,06","11,75","10,96","1,51M","5,50%"
"18.12.2020","11,10","11,68","11,68","10,96","2,74M","-4,23%"
"17.12.2020","11,59","11,35","11,67","11,06","1,36M","1,67%"
"16.12.2020","11,40","12,11","12,19","11,38","1,29M","-7,17%"
"15.12.2020","12,28","12,60","12,77","12,07","1,00M","-2,62%"
"14.12.2020","12,61","12,92","13,30","12,57","953,26K","-1,79%"
"11.12.2020","12,84","12,95","13,09","12,58","845,12K","-1,15%"
"10.12.2020","12,99","12,62","13,09","12,60","609,60K","2,69%"
"09.12.2020","12,65","13,42","13,68","12,15","1,37M","-6,30%"
"08.12.2020","13,50","13,10","13,51","12,78","1,76M","5,88%"
"07.12.2020","12,75","13,18","13,76","12,72","2,36M","7,23%"
"04.12.2020","11,89","12,08","12,15","11,63","796,65K","-1,57%"
"03.12.2020","12,08","12,39","12,53","11,81","909,90K","-3,28%"
"02.12.2020","12,49","12,35","12,53","12,04","844,70K","1,38%"
"01.12.2020","12,32","12,27","12,47","12,07","895,50K","2,67%"
"30.11.2020","12,00","11,71","12,04","11,65","1,09M","3,00%"
"27.11.2020","11,65","11,37","11,78","11,27","662,95K","3,65%"
"25.11.2020","11,24","11,05","11,30","10,78","1,43M","1,26%"
"24.11.2020","11,10","11,65","11,66","11,01","1,69M","-4,80%"
"23.11.2020","11,66","12,14","12,14","11,55","1,39M","-3,52%"
"20.11.2020","12,09","11,85","12,36","11,78","1,10M","1,38%"
"19.11.2020","11,92","12,20","12,34","11,72","1,22M","-1,89%"
"18.11.2020","12,15","12,66","12,75","12,09","1,28M","-3,88%"
"17.11.2020","12,64","13,00","13,00","12,52","1,36M","-2,69%"
"16.11.2020","12,99","12,99","13,20","12,78","909,05K","-0,46%"
"13.11.2020","13,05","13,69","13,89","13,00","1,36M","-2,83%"
"12.11.2020","13,43","13,82","13,96","13,24","1,34M","0,15%"
"11.11.2020","13,41","12,81","13,43","12,64","1,56M","4,60%"
"10.11.2020","12,82","12,88","13,00","12,06","2,02M","1,10%"
"09.11.2020","12,68","12,43","12,93","11,13","2,36M","-4,73%"
"06.11.2020","13,31","12,77","13,47","12,37","1,49M","5,30%"
"05.11.2020","12,64","14,84","15,00","12,36","3,56M","-14,48%"
"04.11.2020","14,78","15,00","15,19","14,48","1,63M","-1,34%"
"03.11.2020","14,98","15,38","15,50","14,75","1,44M","0,64%"
"02.11.2020","14,89","15,00","15,18","14,51","1,19M","-0,37%"
"30.10.2020","14,94","15,65","15,83","14,73","1,12M","-4,78%"
"29.10.2020","15,69","15,33","15,85","15,13","687,69K","2,55%"
"28.10.2020","15,30","15,85","15,85","15,10","1,01M","-1,99%"
"27.10.2020","15,61","15,58","16,17","15,24","1,23M","-1,95%"
"26.10.2020","15,92","14,83","16,73","14,79","4,01M","6,77%"
"23.10.2020","14,91","14,77","15,00","14,60","1,13M","0,95%"
"22.10.2020","14,77","13,94","14,88","13,75","1,08M","5,95%"
