"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","56,41","54,09","56,61","53,98","964,86K","2,06%"
"11.03.2021","55,27","53,38","55,78","53,12","776,98K","5,96%"
"10.03.2021","52,16","53,55","54,41","51,80","819,50K","0,99%"
"09.03.2021","51,65","52,30","52,53","50,62","2,11M","3,03%"
"08.03.2021","50,13","55,21","55,46","49,95","1,70M","-8,56%"
"05.03.2021","54,82","57,03","57,71","52,01","2,40M","-2,84%"
"04.03.2021","56,42","59,76","61,11","55,21","1,56M","-6,36%"
"03.03.2021","60,25","63,65","63,65","60,07","620,81K","-3,09%"
"02.03.2021","62,17","63,46","65,20","61,76","1,12M","-1,55%"
"01.03.2021","63,15","61,68","63,83","61,09","1,05M","6,40%"
"26.02.2021","59,35","57,80","60,75","56,02","1,44M","2,72%"
"25.02.2021","57,78","61,69","62,86","57,38","1,44M","-6,46%"
"24.02.2021","61,77","63,15","63,79","61,06","1,36M","-0,85%"
"23.02.2021","62,30","62,60","64,75","58,50","1,53M","-6,16%"
"22.02.2021","66,39","64,73","67,76","63,66","1,75M","-0,14%"
"19.02.2021","66,48","62,42","66,87","61,88","1,97M","7,78%"
"18.02.2021","61,68","62,00","62,43","60,45","1,79M","1,68%"
"17.02.2021","60,66","62,50","62,50","59,56","3,51M","-6,81%"
"16.02.2021","65,09","65,03","65,66","63,32","1,07M","0,93%"
"12.02.2021","64,49","64,03","65,92","63,01","815,79K","0,77%"
"11.02.2021","64,00","65,75","66,18","63,66","973,42K","-2,74%"
"10.02.2021","65,80","66,60","66,93","63,48","1,82M","4,46%"
"09.02.2021","62,99","67,99","68,60","62,51","2,26M","-5,48%"
"08.02.2021","66,64","65,10","68,50","64,73","2,21M","5,79%"
"05.02.2021","62,99","57,74","63,16","57,04","1,83M","12,72%"
"04.02.2021","55,88","53,14","55,92","53,14","686,67K","5,29%"
"03.02.2021","53,07","53,08","53,54","52,25","557,64K","0,70%"
"02.02.2021","52,70","52,43","53,43","52,00","1,04M","3,70%"
"01.02.2021","50,82","50,27","51,00","49,80","1,06M","5,13%"
"29.01.2021","48,34","50,18","51,26","47,20","1,10M","-4,07%"
"28.01.2021","50,39","48,40","51,20","48,40","1,37M","8,60%"
"27.01.2021","46,40","49,50","50,10","46,17","1,49M","-10,22%"
"26.01.2021","51,68","53,95","53,95","51,58","653,21K","-2,47%"
"25.01.2021","52,99","54,24","55,39","51,82","1,11M","-0,38%"
"22.01.2021","53,19","55,38","55,68","51,04","1,94M","-3,29%"
"21.01.2021","55,00","55,50","57,00","54,60","1,58M","1,51%"
"20.01.2021","54,18","55,66","57,00","54,01","1,18M","0,31%"
"19.01.2021","54,01","52,30","56,35","52,26","1,92M","2,66%"
"15.01.2021","52,61","49,07","53,49","47,01","2,03M","6,45%"
"14.01.2021","49,42","48,06","50,55","47,55","1,25M","4,50%"
"13.01.2021","47,29","47,93","48,90","46,99","572,61K","-1,91%"
"12.01.2021","48,21","45,61","48,50","45,28","1,42M","6,12%"
"11.01.2021","45,43","44,92","45,75","44,36","566,72K","-0,70%"
"08.01.2021","45,75","44,87","47,50","44,33","1,28M","2,26%"
"07.01.2021","44,74","44,29","45,13","43,88","518,39K","2,19%"
"06.01.2021","43,78","44,73","45,56","43,44","762,35K","-3,23%"
"05.01.2021","45,24","43,52","45,85","43,52","915,56K","4,02%"
"04.01.2021","43,49","43,63","44,01","42,79","830,64K","5,02%"
"31.12.2020","41,41","44,11","44,11","41,05","821,52K","-5,91%"
"30.12.2020","44,01","43,86","45,10","43,86","643,01K","0,62%"
"29.12.2020","43,74","45,00","45,29","42,87","723,42K","-2,61%"
"28.12.2020","44,91","43,05","45,35","42,79","1,43M","7,03%"
"24.12.2020","41,96","42,87","43,39","41,88","457,44K","-1,76%"
"23.12.2020","42,71","42,70","43,53","41,71","1,21M","0,92%"
"22.12.2020","42,32","44,38","45,35","42,26","1,65M","-3,47%"
"21.12.2020","43,84","43,42","44,75","43,10","1,06M","-2,58%"
"18.12.2020","45,00","43,82","45,03","42,29","1,69M","1,12%"
"17.12.2020","44,50","46,15","46,17","43,83","1,04M","-3,51%"
"16.12.2020","46,12","43,74","46,40","43,13","1,20M","3,99%"
"15.12.2020","44,35","41,94","44,62","41,91","1,04M","7,10%"
"14.12.2020","41,41","43,57","43,59","40,60","1,46M","-4,61%"
"11.12.2020","43,41","45,04","45,35","42,30","1,01M","-3,49%"
"10.12.2020","44,98","44,80","46,00","44,26","878,77K","0,29%"
"09.12.2020","44,85","48,75","48,84","44,19","1,63M","-6,54%"
"08.12.2020","47,99","45,39","48,20","45,24","1,62M","4,05%"
"07.12.2020","46,12","47,66","48,20","45,53","1,29M","-3,62%"
"04.12.2020","47,85","49,55","51,00","46,23","3,04M","-3,00%"
"03.12.2020","49,33","44,94","49,38","43,97","5,79M","15,23%"
"02.12.2020","42,81","39,80","43,19","39,70","1,90M","6,52%"
"01.12.2020","40,19","40,00","40,59","39,87","1,64M","0,42%"
"30.11.2020","40,02","39,61","41,20","39,33","2,42M","0,05%"
"27.11.2020","40,00","38,90","40,77","38,09","1,43M","2,54%"
"25.11.2020","39,01","41,00","41,13","38,51","3,80M","-2,91%"
