"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","34,94","34,56","34,97","34,53","16,34M","0,66%"
"11.03.2021","34,71","35,06","35,12","34,66","24,56M","-0,63%"
"10.03.2021","34,93","34,61","35,13","34,53","33,50M","1,39%"
"09.03.2021","34,45","34,56","34,85","34,45","25,17M","0,29%"
"08.03.2021","34,35","34,52","34,86","34,33","24,35M","-0,12%"
"05.03.2021","34,39","34,29","34,55","33,96","30,59M","0,56%"
"04.03.2021","34,20","34,27","35,08","33,84","45,45M","-0,55%"
"03.03.2021","34,39","33,47","34,44","33,44","46,02M","2,63%"
"02.03.2021","33,51","33,66","33,89","33,51","27,67M","-0,53%"
"01.03.2021","33,69","33,58","33,93","33,51","30,41M","0,60%"
"26.02.2021","33,49","33,84","33,90","33,36","41,46M","-0,98%"
"25.02.2021","33,82","33,76","34,10","33,55","37,51M","0,21%"
"24.02.2021","33,75","33,87","34,05","33,67","30,69M","-0,47%"
"23.02.2021","33,91","34,00","34,18","33,68","37,62M","-1,02%"
"22.02.2021","34,26","34,35","34,35","34,06","34,32M","-0,52%"
"19.02.2021","34,44","34,66","34,68","34,40","28,15M","-0,35%"
"18.02.2021","34,56","34,79","34,87","34,52","24,05M","-0,95%"
"17.02.2021","34,89","34,57","35,00","34,46","26,36M","0,58%"
"16.02.2021","34,69","34,85","34,86","34,56","28,58M","-0,09%"
"12.02.2021","34,72","34,44","34,95","34,36","25,58M","0,84%"
"11.02.2021","34,43","34,80","34,81","34,28","30,69M","-0,89%"
"10.02.2021","34,74","35,00","35,08","34,70","28,83M","-0,66%"
"09.02.2021","34,97","34,80","35,06","34,76","30,03M","0,43%"
"08.02.2021","34,82","34,96","35,01","34,74","31,43M","-0,29%"
"05.02.2021","34,92","34,92","35,08","34,78","31,75M","0,09%"
"04.02.2021","34,89","34,81","35,06","34,73","34,28M","0,14%"
"03.02.2021","34,84","34,98","35,27","34,78","38,52M","-0,43%"
"02.02.2021","34,99","35,74","35,74","34,48","84,06M","-2,26%"
"01.02.2021","35,80","35,91","36,17","35,72","40,40M","-0,28%"
"29.01.2021","35,90","36,88","36,88","35,62","60,25M","0,11%"
"28.01.2021","35,86","35,99","36,33","35,85","39,47M","-1,05%"
"27.01.2021","36,24","36,95","37,00","36,18","50,56M","-2,87%"
"26.01.2021","37,31","37,29","37,59","37,17","27,72M","0,08%"
"25.01.2021","37,28","36,55","37,28","36,33","31,73M","2,00%"
"22.01.2021","36,55","36,32","36,83","36,25","26,27M","0,19%"
"21.01.2021","36,48","36,39","36,59","36,15","33,86M","-0,05%"
"20.01.2021","36,50","36,79","36,81","36,46","35,40M","-0,63%"
"19.01.2021","36,73","36,80","36,98","36,62","33,45M","0,08%"
"15.01.2021","36,70","36,68","36,78","36,40","34,29M","-0,14%"
"14.01.2021","36,75","36,80","36,95","36,61","30,27M","-0,30%"
"13.01.2021","36,86","37,05","37,16","36,64","31,03M","-0,86%"
"12.01.2021","37,18","37,70","37,78","36,82","47,83M","-1,56%"
"11.01.2021","37,77","37,30","37,81","37,16","47,33M","1,72%"
"08.01.2021","37,13","37,16","37,53","36,90","33,46M","0,19%"
"07.01.2021","37,06","37,01","37,15","36,68","27,81M","0,52%"
"06.01.2021","36,87","36,82","37,47","36,77","34,96M","-0,86%"
"05.01.2021","37,19","36,76","37,37","36,61","29,91M","1,03%"
"04.01.2021","36,81","36,90","36,92","36,28","33,57M","0,00%"
"31.12.2020","36,81","36,66","36,92","36,29","30,80M","0,19%"
"30.12.2020","36,74","37,05","37,23","36,71","24,89M","-0,84%"
"29.12.2020","37,05","36,92","37,19","36,80","23,15M","0,62%"
"28.12.2020","36,82","37,39","37,54","36,68","26,99M","-1,21%"
"24.12.2020","37,27","37,40","37,57","37,18","14,79M","-0,45%"
"23.12.2020","37,44","37,01","37,64","36,89","36,18M","1,91%"
"22.12.2020","36,74","37,21","37,32","36,61","34,10M","-1,71%"
"21.12.2020","37,38","37,24","37,40","36,91","40,89M","-0,80%"
"18.12.2020","37,68","37,99","38,09","37,50","60,26M","-0,92%"
"17.12.2020","38,03","37,86","38,12","37,31","52,04M","0,50%"
"16.12.2020","37,84","38,28","38,46","37,77","56,52M","-2,25%"
"15.12.2020","38,71","39,07","39,15","38,21","66,00M","-1,28%"
"14.12.2020","39,21","41,62","41,65","39,07","94,81M","-4,64%"
"11.12.2020","41,12","41,97","42,07","40,69","60,74M","-1,46%"
"10.12.2020","41,73","41,83","42,21","41,45","57,75M","-0,29%"
"09.12.2020","41,85","43,02","43,02","41,15","86,12M","-1,67%"
"08.12.2020","42,56","41,44","42,76","41,37","87,04M","3,18%"
"07.12.2020","41,25","40,65","41,40","40,37","48,25M","2,26%"
"04.12.2020","40,34","39,89","40,45","39,89","35,37M","0,62%"
"03.12.2020","40,09","41,01","41,01","39,58","68,57M","-1,74%"
"02.12.2020","40,80","40,60","41,40","40,33","84,35M","3,53%"
"01.12.2020","39,41","39,40","40,50","39,01","73,64M","2,87%"
"30.11.2020","38,31","37,99","38,69","37,60","65,43M","2,90%"
"27.11.2020","37,23","36,78","37,26","36,75","25,28M","1,92%"
"25.11.2020","36,53","36,53","36,56","36,24","26,96M","-0,19%"
"24.11.2020","36,60","36,13","36,74","36,03","42,49M","0,22%"
"23.11.2020","36,52","36,99","37,02","36,21","43,67M","-0,49%"
"20.11.2020","36,70","36,70","37,31","36,44","60,63M","1,41%"
"19.11.2020","36,19","36,32","36,56","35,87","43,26M","-0,36%"
"18.11.2020","36,32","36,80","37,41","36,30","63,44M","0,78%"
"17.11.2020","36,04","36,41","36,49","35,82","46,98M","-3,46%"
"16.11.2020","37,33","37,84","37,94","36,85","71,66M","-3,34%"
"13.11.2020","38,62","37,87","38,65","37,71","38,25M","2,85%"
"12.11.2020","37,55","38,15","38,20","37,25","44,42M","-2,47%"
"11.11.2020","38,50","38,97","38,98","37,91","55,96M","-0,47%"
"10.11.2020","38,68","40,44","40,51","38,49","75,99M","-1,33%"
"09.11.2020","39,20","41,83","41,84","38,48","218,36M","7,69%"
"06.11.2020","36,40","36,39","36,72","36,09","22,65M","0,03%"
"05.11.2020","36,39","37,25","37,28","36,39","32,19M","-2,52%"
"04.11.2020","37,33","37,05","38,11","37,00","38,78M","3,15%"
"03.11.2020","36,19","36,52","36,60","36,09","20,53M","-0,11%"
"02.11.2020","36,23","35,94","36,25","35,55","20,33M","2,11%"
"30.10.2020","35,48","35,24","35,53","34,84","24,33M","0,57%"
"29.10.2020","35,28","35,48","35,64","34,60","26,13M","-0,48%"
"28.10.2020","35,45","36,73","37,12","35,32","32,12M","-5,29%"
"27.10.2020","37,43","37,26","38,11","36,94","34,96M","-1,29%"
"26.10.2020","37,92","38,00","38,01","37,48","32,05M","-0,68%"
"23.10.2020","38,18","37,93","38,28","37,65","28,99M","2,00%"
"22.10.2020","37,43","37,05","37,57","37,05","18,26M","0,94%"
"21.10.2020","37,08","37,40","37,43","37,06","18,01M","-1,09%"
"20.10.2020","37,49","37,85","37,87","37,35","21,24M","-0,82%"
"19.10.2020","37,80","38,46","38,84","37,65","30,30M","-0,40%"
"16.10.2020","37,95","37,07","38,12","37,02","40,79M","3,83%"
"15.10.2020","36,55","36,63","36,74","36,41","15,27M","-0,84%"
"14.10.2020","36,86","37,00","37,30","36,58","20,99M","-0,11%"
"13.10.2020","36,90","36,63","37,12","36,63","20,44M","0,22%"
"12.10.2020","36,82","36,68","37,17","36,48","18,42M","0,08%"
"09.10.2020","36,79","36,83","37,12","36,59","22,45M","-0,27%"
"08.10.2020","36,89","36,59","37,17","36,51","16,94M","1,15%"
"07.10.2020","36,47","36,21","36,59","36,03","21,02M","0,83%"
"06.10.2020","36,17","37,00","37,00","36,12","23,94M","-1,58%"
"05.10.2020","36,75","36,53","36,88","36,34","18,41M","1,02%"
"02.10.2020","36,38","36,06","36,66","36,03","20,36M","0,03%"
"01.10.2020","36,37","36,94","37,08","36,17","21,37M","-0,90%"
"30.09.2020","36,70","36,31","36,95","36,25","21,47M","1,47%"
"29.09.2020","36,17","36,41","36,53","36,04","12,84M","-0,60%"
"28.09.2020","36,39","36,18","36,57","36,18","14,27M","0,94%"
"25.09.2020","36,05","35,54","36,15","35,52","13,63M","0,81%"
"24.09.2020","35,76","36,04","36,04","35,54","19,79M","-0,67%"
