"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","80,55","80,38","83,17","79,28","847,28K","-2,62%"
"11.03.2021","82,72","84,42","84,42","80,44","1,03M","0,50%"
"10.03.2021","82,31","81,16","85,22","79,99","939,07K","5,95%"
"09.03.2021","77,69","78,20","82,32","77,63","1,13M","4,27%"
"08.03.2021","74,50","75,70","77,68","71,64","1,16M","-2,31%"
"05.03.2021","76,27","74,80","76,43","65,41","1,51M","3,26%"
"04.03.2021","73,86","73,23","76,05","69,53","1,78M","-2,20%"
"03.03.2021","75,52","84,36","85,68","75,51","1,31M","-9,58%"
"02.03.2021","83,52","86,01","88,51","82,66","828,86K","-3,63%"
"01.03.2021","86,67","81,19","88,65","81,11","1,15M","11,44%"
"26.02.2021","77,77","82,06","92,30","76,40","2,40M","-9,51%"
"25.02.2021","85,94","95,00","96,00","85,00","1,27M","-8,66%"
"24.02.2021","94,09","95,68","98,39","92,06","1,04M","0,42%"
"23.02.2021","93,70","91,00","95,66","84,11","1,52M","-3,82%"
"22.02.2021","97,42","95,95","101,40","95,00","1,01M","0,48%"
"19.02.2021","96,95","95,01","99,56","94,63","964,59K","3,68%"
"18.02.2021","93,51","99,08","99,08","92,69","1,47M","-8,72%"
"17.02.2021","102,44","106,10","106,47","98,61","1,23M","-5,12%"
"16.02.2021","107,97","111,49","114,20","105,66","775,75K","-0,88%"
"12.02.2021","108,93","108,81","111,07","103,74","686,94K","-0,15%"
"11.02.2021","109,09","113,58","114,72","107,58","854,73K","-4,04%"
"10.02.2021","113,68","111,86","117,00","110,04","979,49K","2,78%"
"09.02.2021","110,60","114,30","114,34","109,54","1,35M","-0,80%"
"08.02.2021","111,49","101,68","114,23","101,06","1,42M","12,98%"
"05.02.2021","98,68","97,57","99,85","94,50","482,56K","1,79%"
"04.02.2021","96,94","98,56","99,48","95,64","610,51K","-0,49%"
"03.02.2021","97,42","95,00","99,62","94,54","675,97K","3,01%"
"02.02.2021","94,57","102,41","102,41","92,96","846,19K","-4,46%"
"01.02.2021","98,98","91,56","98,98","88,81","851,95K","10,47%"
"29.01.2021","89,60","93,45","97,62","87,52","1,02M","-3,75%"
"28.01.2021","93,09","96,15","97,33","89,44","1,03M","-3,54%"
"27.01.2021","96,51","93,60","98,20","87,15","1,50M","-1,77%"
"26.01.2021","98,25","101,00","104,00","98,17","1,11M","-2,00%"
"25.01.2021","100,25","102,45","109,90","98,04","1,54M","-0,28%"
"22.01.2021","100,53","95,91","101,05","94,00","912,91K","3,59%"
"21.01.2021","97,05","93,39","99,28","91,77","1,34M","6,34%"
"20.01.2021","91,26","88,79","95,10","88,00","1,46M","5,16%"
"19.01.2021","86,78","82,93","87,58","78,73","1,20M","8,46%"
"15.01.2021","80,01","81,68","81,99","76,14","1,16M","-3,82%"
"14.01.2021","83,19","85,99","86,60","82,65","783,72K","-2,37%"
"13.01.2021","85,21","87,40","87,90","84,12","766,75K","-1,13%"
"12.01.2021","86,18","87,28","89,11","84,74","987,52K","0,41%"
"11.01.2021","85,83","82,75","86,45","81,00","925,58K","1,83%"
"08.01.2021","84,29","89,93","90,00","82,34","1,29M","-4,26%"
"07.01.2021","88,04","91,45","92,11","85,51","1,43M","3,75%"
"06.01.2021","84,86","78,89","89,49","78,89","2,26M","12,68%"
"05.01.2021","75,31","70,47","77,86","70,29","1,33M","8,63%"
"04.01.2021","69,33","72,40","73,73","68,96","809,26K","-2,10%"
"31.12.2020","70,82","73,69","73,98","70,51","595,61K","-2,89%"
"30.12.2020","72,93","69,53","73,70","69,28","810,25K","5,83%"
"29.12.2020","68,91","75,44","75,44","67,34","1,20M","-7,00%"
"28.12.2020","74,10","74,84","76,17","73,09","881,46K","2,04%"
"24.12.2020","72,62","77,35","77,80","72,04","688,93K","-5,97%"
"23.12.2020","77,23","79,60","80,87","76,82","934,15K","-2,25%"
"22.12.2020","79,01","78,51","80,96","75,30","1,08M","1,92%"
"21.12.2020","77,52","72,00","78,59","70,27","1,65M","2,57%"
"18.12.2020","75,58","73,43","76,63","72,73","4,03M","3,15%"
"17.12.2020","73,27","71,42","73,55","69,61","951,14K","3,68%"
"16.12.2020","70,67","71,01","71,23","67,22","1,11M","-0,56%"
"15.12.2020","71,07","67,30","72,40","66,03","1,98M","9,63%"
"14.12.2020","64,83","64,14","67,82","61,70","2,57M","4,31%"
"11.12.2020","62,15","58,06","62,56","57,34","1,25M","7,43%"
"10.12.2020","57,85","57,93","60,65","57,23","804,17K","-0,92%"
"09.12.2020","58,39","59,61","60,73","57,17","1,11M","-0,87%"
"08.12.2020","58,90","55,51","58,99","54,95","913,78K","6,38%"
"07.12.2020","55,37","59,01","59,19","54,93","1,18M","-6,69%"
"04.12.2020","59,34","59,55","60,35","57,98","728,58K","1,12%"
"03.12.2020","58,68","59,49","60,16","57,50","620,80K","-1,64%"
"02.12.2020","59,66","57,40","60,92","56,62","827,57K","1,97%"
"01.12.2020","58,51","59,73","60,70","58,40","810,99K","0,74%"
"30.11.2020","58,08","61,97","63,61","57,26","1,19M","-6,13%"
"27.11.2020","61,87","59,95","62,18","59,25","623,45K","4,19%"
"25.11.2020","59,38","57,78","61,25","55,83","1,23M","2,13%"
"24.11.2020","58,14","58,52","61,70","56,78","1,27M","0,66%"
"23.11.2020","57,76","55,66","57,95","55,00","735,09K","6,77%"
"20.11.2020","54,10","55,43","56,27","53,51","771,24K","-3,06%"
"19.11.2020","55,81","56,20","56,39","53,52","1,02M","-0,69%"
"18.11.2020","56,20","60,58","60,58","56,20","1,12M","-5,00%"
