"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","260,39","258,40","260,96","257,29","3,93M","0,74%"
"11.03.2021","258,47","259,35","259,95","256,27","4,74M","0,18%"
"10.03.2021","258,00","259,00","260,70","256,64","6,75M","-0,33%"
"09.03.2021","258,86","252,99","259,30","252,39","7,85M","2,42%"
"05.03.2021","252,75","251,51","253,63","249,00","6,40M","1,00%"
"04.03.2021","250,24","252,99","256,51","249,14","8,78M","-0,82%"
"03.03.2021","252,30","255,49","256,26","251,81","5,91M","-0,18%"
"02.03.2021","252,75","249,43","253,90","248,72","7,01M","1,06%"
"01.03.2021","250,10","250,71","252,32","249,72","5,99M","0,28%"
"26.02.2021","249,40","248,96","250,95","246,35","4,85M","-0,04%"
"25.02.2021","249,51","250,40","253,44","249,27","6,17M","-0,30%"
"24.02.2021","250,26","248,58","251,17","247,85","5,32M","-0,49%"
"22.02.2021","251,48","248,51","252,00","247,30","3,65M","0,95%"
"20.02.2021","249,12","249,89","249,90","247,74","719,12K","-0,21%"
"19.02.2021","249,64","246,15","251,11","244,00","4,76M","1,07%"
"18.02.2021","247,00","248,98","250,00","245,81","5,75M","-0,56%"
"17.02.2021","248,39","248,15","251,70","246,11","5,01M","-0,10%"
"16.02.2021","248,64","250,20","250,68","247,70","3,04M","-0,44%"
"15.02.2021","249,75","247,00","249,77","246,55","4,52M","1,80%"
"12.02.2021","245,33","243,40","245,75","238,58","6,25M","0,84%"
"11.02.2021","243,29","245,15","245,96","242,83","3,37M","-0,76%"
"10.02.2021","245,16","247,47","250,59","243,50","5,89M","-1,10%"
"09.02.2021","247,89","251,01","251,76","246,07","5,28M","-1,18%"
"08.02.2021","250,84","248,98","251,37","248,58","4,28M","1,20%"
"05.02.2021","247,86","247,56","249,50","246,17","4,52M","0,30%"
"04.02.2021","247,13","241,41","247,31","241,41","5,63M","2,10%"
"03.02.2021","242,04","242,73","245,79","240,25","4,23M","-0,01%"
"02.02.2021","242,07","243,21","245,64","241,95","5,12M","-0,30%"
"01.02.2021","242,79","239,90","243,08","238,10","4,09M","2,11%"
"29.01.2021","237,78","243,99","244,00","237,32","7,57M","-2,89%"
"28.01.2021","244,85","243,00","245,63","240,90","6,33M","0,36%"
"27.01.2021","243,98","247,15","250,62","243,57","6,24M","-1,26%"
"26.01.2021","247,10","243,36","247,43","242,72","4,60M","1,02%"
"25.01.2021","244,61","246,51","248,50","241,65","6,99M","0,17%"
"22.01.2021","244,20","247,80","248,00","241,90","8,84M","-1,85%"
"21.01.2021","248,80","255,00","255,45","248,55","6,29M","-2,05%"
"20.01.2021","254,00","252,87","255,20","251,76","4,09M","0,67%"
"19.01.2021","252,30","255,29","256,24","251,12","5,41M","-0,59%"
"18.01.2021","253,80","249,49","255,10","246,60","8,16M","1,38%"
"15.01.2021","250,34","254,00","257,35","248,30","8,11M","-1,96%"
"14.01.2021","255,35","253,89","255,77","249,16","5,64M","0,96%"
"13.01.2021","252,93","258,97","259,60","251,02","7,88M","-1,85%"
"12.01.2021","257,69","258,04","261,98","254,60","9,64M","0,30%"
"11.01.2021","256,92","250,45","259,94","249,07","11,47M","1,75%"
"08.01.2021","252,49","247,30","253,47","247,30","8,08M","2,55%"
