"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","1.140,63","1.114,90","1.146,00","1.095,00","1,09M","-0,14%"
"11.03.2021","1.142,24","1.123,00","1.157,00","1.088,00","1,66M","4,99%"
"10.03.2021","1.087,90","1.166,20","1.167,00","1.079,51","2,05M","-3,79%"
"09.03.2021","1.130,74","1.123,51","1.147,73","1.103,02","1,86M","5,44%"
"08.03.2021","1.072,43","1.125,00","1.163,00","1.072,29","2,46M","-5,18%"
"05.03.2021","1.131,01","1.154,97","1.154,97","1.021,57","3,94M","-1,60%"
"04.03.2021","1.149,44","1.198,58","1.220,30","1.114,52","2,75M","-5,81%"
"03.03.2021","1.220,30","1.291,00","1.297,01","1.219,08","1,16M","-6,78%"
"02.03.2021","1.309,06","1.307,92","1.315,40","1.255,22","1,28M","-0,07%"
"01.03.2021","1.309,94","1.303,51","1.327,94","1.281,02","1,27M","2,26%"
"28.02.2021","1.280,97","1.280,97","1.280,97","1.280,97","-","0,00%"
"26.02.2021","1.280,97","1.254,68","1.298,00","1.237,00","1,32M","2,88%"
"25.02.2021","1.245,10","1.301,06","1.320,00","1.226,38","1,86M","-4,31%"
"24.02.2021","1.301,15","1.305,34","1.320,00","1.263,53","1,12M","0,07%"
"23.02.2021","1.300,24","1.273,13","1.321,91","1.210,14","3,45M","-5,87%"
"22.02.2021","1.381,30","1.405,00","1.411,18","1.362,60","1,39M","-3,74%"
"19.02.2021","1.435,01","1.396,96","1.438,64","1.376,51","1,32M","3,64%"
"18.02.2021","1.384,57","1.389,27","1.415,00","1.376,31","1,25M","-2,84%"
"17.02.2021","1.425,00","1.384,16","1.459,62","1.345,00","3,63M","-3,32%"
"16.02.2021","1.474,00","1.468,53","1.492,28","1.428,00","1,55M","1,27%"
"12.02.2021","1.455,49","1.457,00","1.473,00","1.431,39","1,01M","-0,53%"
"11.02.2021","1.463,31","1.475,63","1.481,97","1.438,03","917,12K","0,06%"
"10.02.2021","1.462,42","1.448,01","1.499,75","1.408,15","2,07M","2,05%"
"09.02.2021","1.432,99","1.365,53","1.453,49","1.355,99","2,11M","6,53%"
"08.02.2021","1.345,09","1.303,86","1.348,26","1.293,01","1,23M","4,45%"
"05.02.2021","1.287,75","1.261,49","1.296,78","1.252,58","1,05M","2,13%"
"04.02.2021","1.260,87","1.239,34","1.281,63","1.237,35","1,42M","3,00%"
"03.02.2021","1.224,16","1.236,26","1.245,45","1.197,70","1,16M","-0,91%"
"02.02.2021","1.235,35","1.168,00","1.238,00","1.161,23","1,74M","7,90%"
"01.02.2021","1.144,93","1.108,00","1.147,78","1.099,68","1,08M","4,22%"
"29.01.2021","1.098,59","1.120,00","1.124,81","1.081,00","1,01M","-1,96%"
"28.01.2021","1.120,57","1.110,53","1.138,23","1.094,93","774,39K","2,61%"
"27.01.2021","1.092,08","1.123,44","1.143,00","1.082,00","1,61M","-5,84%"
"26.01.2021","1.159,77","1.209,91","1.215,45","1.158,24","985,52K","-3,83%"
"25.01.2021","1.205,92","1.204,36","1.246,34","1.167,72","1,49M","0,77%"
"24.01.2021","1.196,70","1.196,70","1.196,70","1.196,70","-","0,00%"
"22.01.2021","1.196,70","1.187,52","1.201,61","1.177,16","624,75K","-0,12%"
"21.01.2021","1.198,15","1.214,00","1.216,25","1.181,00","701,11K","-0,24%"
"20.01.2021","1.200,98","1.180,71","1.216,32","1.175,35","811,95K","2,30%"
"19.01.2021","1.173,97","1.187,90","1.189,61","1.150,55","776,47K","0,30%"
"15.01.2021","1.170,47","1.190,16","1.193,00","1.147,00","893,30K","-0,71%"
"14.01.2021","1.178,86","1.229,05","1.229,05","1.170,65","1,18M","-1,75%"
"13.01.2021","1.199,82","1.188,94","1.201,80","1.169,50","693,83K","0,97%"
"12.01.2021","1.188,24","1.191,89","1.204,86","1.166,38","903,36K","0,90%"
