"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","34,55","32,47","34,66","32,09","10,44M","2,89%"
"11.03.2021","33,58","32,20","34,17","31,57","15,86M","9,77%"
"10.03.2021","30,59","32,68","33,41","29,92","16,15M","1,29%"
"09.03.2021","30,20","28,23","30,73","27,79","14,67M","13,83%"
"08.03.2021","26,53","27,32","29,55","26,30","15,21M","-2,78%"
"05.03.2021","27,29","28,69","29,62","23,94","36,95M","-9,93%"
"04.03.2021","30,30","31,02","32,54","28,58","17,47M","-5,40%"
"03.03.2021","32,03","35,03","35,03","31,86","18,28M","-5,15%"
"02.03.2021","33,77","38,17","38,17","33,46","14,80M","-11,46%"
"01.03.2021","38,14","38,94","39,69","37,62","8,84M","2,44%"
"28.02.2021","37,23","37,23","37,23","37,23","-","0,00%"
"27.02.2021","37,23","37,23","37,23","37,23","-","0,00%"
"26.02.2021","37,23","35,55","39,34","35,30","20,03M","-11,86%"
"25.02.2021","42,24","45,06","47,20","41,68","10,87M","-8,41%"
"24.02.2021","46,12","45,27","46,25","42,90","6,57M","4,44%"
"23.02.2021","44,16","43,30","44,75","38,52","13,67M","-6,30%"
"22.02.2021","47,13","49,37","50,75","46,90","7,69M","-7,93%"
"19.02.2021","51,19","49,51","52,24","49,24","8,95M","4,92%"
"18.02.2021","48,79","47,74","53,21","47,01","21,72M","-1,61%"
"17.02.2021","49,59","49,69","49,98","46,64","12,90M","-1,53%"
"16.02.2021","50,36","53,11","53,15","50,00","15,15M","-7,65%"
"12.02.2021","54,53","53,35","56,90","52,30","22,09M","-8,21%"
"11.02.2021","59,41","52,68","60,67","51,57","29,68M","13,40%"
"10.02.2021","52,39","56,00","56,14","51,15","14,44M","-7,63%"
"09.02.2021","56,72","56,06","56,81","54,42","8,56M","0,84%"
"08.02.2021","56,25","55,99","57,85","54,05","14,01M","3,51%"
"05.02.2021","54,34","55,15","55,50","52,00","13,54M","-0,69%"
"04.02.2021","54,72","56,70","62,70","53,22","32,46M","-4,20%"
"03.02.2021","57,12","49,99","58,27","49,54","40,05M","17,58%"
"02.02.2021","48,58","58,60","58,60","47,35","39,49M","-9,69%"
"01.02.2021","53,79","46,45","57,16","45,83","58,08M","21,45%"
"29.01.2021","44,29","45,50","49,90","43,90","28,65M","2,74%"
"28.01.2021","43,11","46,59","52,00","39,47","40,86M","-6,99%"
"27.01.2021","46,35","44,24","59,35","40,30","78,54M","10,23%"
"26.01.2021","42,05","37,28","44,00","36,62","54,40M","16,81%"
"25.01.2021","36,00","35,09","38,86","32,30","31,62M","5,02%"
"24.01.2021","34,28","34,28","34,28","34,28","-","0,00%"
"22.01.2021","34,28","33,11","34,45","32,30","12,92M","3,04%"
"21.01.2021","33,27","32,52","33,90","31,64","13,94M","3,87%"
"20.01.2021","32,03","31,70","32,96","30,78","12,76M","1,20%"
"19.01.2021","31,65","32,04","32,29","30,50","20,02M","4,01%"
"15.01.2021","30,43","31,93","32,48","29,92","19,15M","-7,87%"
"14.01.2021","33,03","30,80","33,57","30,20","58,07M","19,85%"
"13.01.2021","27,56","26,57","27,83","26,25","15,02M","3,38%"
"12.01.2021","26,66","25,00","26,73","25,00","12,15M","6,98%"
"11.01.2021","24,92","24,87","25,66","24,44","6,49M","-1,19%"
"10.01.2021","25,22","25,22","25,22","25,22","-","0,00%"
"09.01.2021","25,22","25,22","25,22","25,22","-","0,00%"
"08.01.2021","25,22","25,69","25,85","24,80","8,51M","0,36%"
"07.01.2021","25,13","25,25","25,95","24,70","13,07M","3,97%"
"06.01.2021","24,17","24,09","24,93","23,73","8,05M","0,21%"
"05.01.2021","24,12","23,22","24,47","23,01","7,56M","3,92%"
"04.01.2021","23,21","23,91","23,91","22,88","7,68M","-2,19%"
"31.12.2020","23,73","24,09","24,14","23,25","5,72M","-1,17%"
"30.12.2020","24,01","23,87","24,38","23,68","6,35M","1,09%"
"29.12.2020","23,75","24,05","24,24","23,01","9,35M","-0,79%"
"28.12.2020","23,94","26,14","26,49","23,65","16,22M","-7,39%"
"24.12.2020","25,85","26,81","26,89","25,26","8,78M","-3,62%"
"23.12.2020","26,82","25,50","27,43","25,24","18,30M","5,30%"
"22.12.2020","25,47","25,31","25,93","24,41","16,95M","2,70%"
"21.12.2020","24,80","24,19","25,28","23,94","15,84M","4,03%"
"18.12.2020","23,84","24,00","25,33","23,78","30,34M","-6,51%"
"17.12.2020","25,50","25,70","26,15","24,74","18,52M","-1,39%"
"16.12.2020","25,86","24,83","26,86","24,52","22,64M","5,51%"
"15.12.2020","24,51","26,90","27,04","24,40","30,83M","-7,40%"
"14.12.2020","26,47","27,00","28,83","26,38","47,12M","-17,38%"
"11.12.2020","32,04","31,95","34,60","31,86","18,50M","-0,44%"
"10.12.2020","32,18","30,12","32,58","29,65","14,62M","0,16%"
"09.12.2020","32,13","34,05","35,80","30,57","25,96M","-3,77%"
"08.12.2020","33,39","33,00","33,68","31,64","21,55M","-1,21%"
"07.12.2020","33,80","29,56","33,85","29,08","28,14M","17,61%"
"04.12.2020","28,74","28,20","29,20","28,15","8,69M","2,35%"
"03.12.2020","28,08","27,77","28,76","27,58","9,19M","2,00%"
"02.12.2020","27,53","27,95","27,95","26,30","16,39M","-2,89%"
"01.12.2020","28,35","27,90","29,57","27,15","19,23M","6,54%"
"30.11.2020","26,61","27,54","28,00","25,36","12,75M","-2,06%"
"27.11.2020","27,17","28,81","28,88","27,05","10,94M","0,26%"
"25.11.2020","27,10","24,75","27,80","24,62","18,08M","8,57%"
"24.11.2020","24,96","25,31","25,38","24,33","9,16M","0,20%"
"23.11.2020","24,91","23,65","25,39","23,60","13,60M","6,86%"
"22.11.2020","23,31","23,31","23,31","23,31","-","0,00%"
"21.11.2020","23,31","23,31","23,31","23,31","-","0,00%"
"20.11.2020","23,31","24,50","24,50","23,05","11,25M","-3,08%"
"19.11.2020","24,05","23,10","24,33","22,80","14,28M","6,46%"
"18.11.2020","22,59","21,50","23,66","21,27","18,62M","5,81%"
"17.11.2020","21,35","20,82","21,60","20,37","9,13M","2,20%"
"16.11.2020","20,89","20,67","21,22","19,85","22,59M","-6,20%"
"15.11.2020","22,27","22,27","22,27","22,27","-","0,00%"
"14.11.2020","22,27","22,27","22,27","22,27","-","0,00%"
"13.11.2020","22,27","21,96","22,35","21,14","7,35M","3,01%"
"12.11.2020","21,62","21,38","22,24","20,90","9,63M","-1,46%"
"11.11.2020","21,94","20,75","22,38","20,60","12,87M","7,18%"
"10.11.2020","20,47","20,84","20,84","19,11","9,89M","0,10%"
"09.11.2020","20,45","20,00","21,37","19,35","14,54M","7,46%"
"06.11.2020","19,03","20,00","20,20","18,37","13,39M","-0,73%"
"05.11.2020","19,17","18,30","19,17","18,04","11,86M","6,32%"
"04.11.2020","18,03","18,50","18,80","17,85","7,85M","-2,28%"
"03.11.2020","18,45","17,86","18,66","17,68","8,48M","4,47%"
"02.11.2020","17,66","17,43","18,19","17,14","9,87M","1,38%"
"30.10.2020","17,42","18,13","18,13","17,02","8,02M","-4,18%"
"29.10.2020","18,18","17,74","18,30","17,48","8,61M","4,00%"
"28.10.2020","17,48","17,94","18,11","17,34","8,88M","-4,43%"
"27.10.2020","18,29","18,44","18,98","18,20","6,05M","-0,16%"
"26.10.2020","18,32","18,93","19,22","17,92","12,61M","-4,28%"
"23.10.2020","19,14","20,80","20,82","19,05","16,15M","-7,67%"
"22.10.2020","20,73","20,71","21,29","20,50","8,66M","1,42%"
"21.10.2020","20,44","23,17","23,34","20,25","21,01M","-11,25%"
"20.10.2020","23,03","22,90","24,36","22,67","25,86M","0,92%"
"19.10.2020","22,82","23,01","23,62","22,25","17,28M","1,69%"
"16.10.2020","22,44","22,00","23,40","21,87","23,73M","3,70%"
"15.10.2020","21,64","20,85","21,85","20,67","7,76M","1,45%"
"14.10.2020","21,33","21,94","21,94","21,02","8,39M","-2,20%"
"13.10.2020","21,81","20,43","21,98","19,95","13,08M","6,03%"
"12.10.2020","20,57","21,44","21,49","20,56","8,70M","-3,88%"
"09.10.2020","21,40","22,16","22,20","21,31","10,08M","-3,12%"
"08.10.2020","22,09","22,42","22,54","21,56","10,15M","1,24%"
"07.10.2020","21,82","21,55","22,25","21,55","13,07M","3,76%"
"06.10.2020","21,03","21,27","22,53","20,80","23,87M","0,10%"
"05.10.2020","21,01","21,24","21,61","20,61","13,25M","1,16%"
"02.10.2020","20,77","19,07","20,91","18,82","19,57M","2,97%"
"01.10.2020","20,17","19,25","20,36","19,15","13,91M","4,89%"
"30.09.2020","19,23","20,06","20,85","18,96","19,50M","-5,92%"
"29.09.2020","20,44","20,72","20,98","19,63","32,27M","-0,34%"
"28.09.2020","20,51","18,26","20,77","18,10","54,57M","24,83%"
"25.09.2020","16,43","15,97","16,47","15,87","5,43M","3,20%"
"24.09.2020","15,92","15,52","16,34","14,93","11,89M","1,21%"
"23.09.2020","15,73","16,44","16,69","15,54","9,90M","-4,49%"
"22.09.2020","16,47","16,44","16,60","16,13","6,97M","-0,06%"
"21.09.2020","16,48","16,76","16,99","15,90","10,69M","-4,24%"
"18.09.2020","17,21","17,22","17,38","16,82","8,28M","0,17%"
"17.09.2020","17,18","16,91","17,31","16,73","7,32M","-1,32%"
"16.09.2020","17,41","17,51","17,75","17,28","6,74M","-1,64%"
"15.09.2020","17,70","17,48","18,08","17,17","8,85M","1,78%"
"14.09.2020","17,39","16,75","17,46","16,63","7,63M","5,01%"
"11.09.2020","16,56","17,45","17,60","16,33","12,76M","-5,10%"
"10.09.2020","17,45","17,85","18,45","17,29","12,75M","-1,47%"
"09.09.2020","17,71","18,08","18,70","17,13","20,20M","1,78%"
"08.09.2020","17,40","16,41","18,25","16,01","20,27M","9,30%"
"04.09.2020","15,92","16,57","16,89","14,86","15,03M","-3,69%"
"03.09.2020","16,53","16,55","17,19","16,22","12,32M","-3,33%"
"02.09.2020","17,10","17,50","17,50","16,36","13,41M","-1,78%"
"01.09.2020","17,41","17,89","17,92","17,33","9,02M","-2,74%"
"31.08.2020","17,90","18,13","18,26","17,43","12,67M","2,52%"
"28.08.2020","17,46","17,35","17,56","17,11","5,01M","1,04%"
"27.08.2020","17,28","17,58","17,65","16,85","8,87M","-0,35%"
"26.08.2020","17,34","17,48","18,50","17,23","13,28M","-0,86%"
"25.08.2020","17,49","17,79","17,84","17,13","6,52M","-0,79%"
"24.08.2020","17,63","17,02","17,69","16,74","9,52M","4,51%"
"21.08.2020","16,87","17,25","17,60","16,77","8,95M","-2,54%"
"20.08.2020","17,31","17,49","17,61","16,88","11,04M","-1,25%"
"19.08.2020","17,53","17,74","18,18","17,50","7,40M","-1,13%"
"18.08.2020","17,73","18,06","18,37","17,49","9,92M","-2,42%"
"17.08.2020","18,17","18,68","18,73","17,24","15,44M","-2,05%"
"14.08.2020","18,55","18,87","19,09","18,28","7,92M","-1,17%"
"13.08.2020","18,77","18,10","19,48","18,04","15,60M","3,36%"
"12.08.2020","18,16","18,34","18,44","17,81","8,53M","-0,66%"
"11.08.2020","18,28","19,57","19,62","18,15","10,64M","-4,94%"
"10.08.2020","19,23","18,45","19,51","18,44","12,46M","5,37%"
"07.08.2020","18,25","19,07","19,30","18,13","19,63M","-5,64%"
"06.08.2020","19,34","19,77","19,98","19,06","22,16M","-4,02%"
"05.08.2020","20,15","20,10","20,65","19,32","17,07M","-2,75%"
"04.08.2020","20,72","21,73","22,17","20,69","23,46M","-13,74%"
"03.08.2020","24,02","23,65","24,30","22,66","18,50M","6,99%"
"31.07.2020","22,45","23,17","23,40","22,08","7,18M","-1,88%"
"30.07.2020","22,88","22,23","23,40","21,92","9,23M","-0,39%"
"29.07.2020","22,97","23,69","24,28","22,63","14,25M","-3,73%"
"28.07.2020","23,86","25,26","25,75","23,65","23,16M","-4,25%"
"27.07.2020","24,92","25,02","25,68","23,77","16,99M","2,51%"
"24.07.2020","24,31","24,00","24,85","23,10","20,51M","-3,34%"
"23.07.2020","25,15","26,03","27,53","23,86","39,29M","-1,53%"
"22.07.2020","25,54","24,50","26,53","24,50","26,80M","2,45%"
"21.07.2020","24,93","23,17","26,31","22,97","40,17M","8,49%"
"20.07.2020","22,98","23,76","23,87","22,00","20,48M","-4,45%"
"17.07.2020","24,05","22,79","24,78","22,26","54,77M","14,14%"
"16.07.2020","21,07","19,45","22,17","19,08","52,79M","13,58%"
"15.07.2020","18,55","19,08","19,09","18,06","11,65M","0,65%"
"14.07.2020","18,43","18,11","18,60","17,05","15,80M","1,82%"
"13.07.2020","18,10","19,65","20,98","17,74","36,02M","-5,97%"
"10.07.2020","19,25","19,32","19,98","18,27","27,77M","-1,08%"
"09.07.2020","19,46","17,10","19,49","17,08","50,66M","15,90%"
"08.07.2020","16,79","16,61","16,81","16,20","8,72M","1,45%"
"07.07.2020","16,55","16,63","16,84","16,15","8,20M","-2,36%"
"06.07.2020","16,95","16,63","17,09","16,05","13,90M","4,31%"
"02.07.2020","16,25","16,78","17,34","16,17","11,77M","-2,69%"
"01.07.2020","16,70","16,67","16,88","15,87","14,96M","2,20%"
"30.06.2020","16,34","15,21","16,40","14,95","13,20M","5,97%"
"29.06.2020","15,42","15,43","15,59","14,65","12,93M","-0,84%"
"26.06.2020","15,55","16,10","16,10","15,08","20,17M","1,97%"
"25.06.2020","15,25","15,70","15,83","15,02","13,60M","-1,61%"
"24.06.2020","15,50","16,19","16,60","15,30","13,21M","-5,78%"
"23.06.2020","16,45","17,39","17,57","16,40","19,66M","-5,41%"
"22.06.2020","17,39","17,66","17,69","16,15","52,76M","15,93%"
"19.06.2020","15,00","15,30","15,67","14,94","14,73M","-1,32%"
"18.06.2020","15,20","14,92","15,45","14,77","7,09M","1,47%"
"17.06.2020","14,98","15,30","15,71","14,92","6,85M","-2,41%"
"16.06.2020","15,35","16,00","16,07","15,11","8,62M","0,20%"
"15.06.2020","15,32","14,44","15,53","14,21","10,35M","2,20%"
"12.06.2020","14,99","15,13","15,24","14,31","11,46M","3,67%"
"11.06.2020","14,46","15,24","15,66","14,30","17,37M","-10,52%"
"10.06.2020","16,16","16,67","16,79","15,86","9,84M","-2,88%"
"09.06.2020","16,64","17,27","17,27","16,30","11,09M","-3,76%"
"08.06.2020","17,29","16,09","17,36","16,02","21,35M","9,64%"
"05.06.2020","15,77","16,21","16,27","15,66","13,19M","-0,57%"
"04.06.2020","15,86","16,21","16,44","15,76","13,41M","-3,23%"
"03.06.2020","16,39","15,34","16,78","15,30","29,90M","3,60%"
"02.06.2020","15,82","16,75","16,77","15,76","24,36M","-9,70%"
"01.06.2020","17,52","18,40","18,68","17,27","22,56M","2,82%"
