"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.03.2020","175,83","168,72","176,32","162,21","19,95M","9,84%"
"16.03.2020","152,01","151,14","165,31","147,98","23,69M","-13,55%"
"17.03.2020","157,89","155,75","163,70","149,25","22,30M","3,87%"
"18.03.2020","148,48","147,86","150,46","139,85","22,79M","-5,96%"
"19.03.2020","152,25","146,99","157,24","141,51","19,36M","2,54%"
"20.03.2020","146,83","154,82","158,26","145,67","18,69M","-3,56%"
"23.03.2020","135,74","141,33","143,35","133,93","30,34M","-7,55%"
"24.03.2020","154,53","144,62","155,20","143,67","24,49M","13,84%"
"25.03.2020","161,78","158,67","168,12","153,59","20,62M","4,69%"
"26.03.2020","168,88","162,89","169,53","161,89","17,07M","4,39%"
"27.03.2020","161,56","160,73","167,09","158,19","14,95M","-4,33%"
"30.03.2020","165,57","161,04","165,87","160,69","15,71M","2,48%"
"31.03.2020","161,12","166,43","168,19","160,54","20,61M","-2,69%"
"01.04.2020","153,11","156,32","158,07","151,42","12,60M","-4,97%"
"02.04.2020","157,39","152,53","158,35","151,29","14,05M","2,80%"
"03.04.2020","151,85","155,56","157,72","150,60","11,99M","-3,52%"
"06.04.2020","169,44","160,02","170,73","158,25","16,48M","11,58%"
"07.04.2020","168,59","177,76","178,80","168,10","15,38M","-0,50%"
"08.04.2020","174,94","171,01","176,00","167,93","11,15M","3,77%"
"09.04.2020","173,69","176,27","177,19","172,85","12,23M","-0,71%"
"13.04.2020","168,99","172,26","172,32","166,15","14,04M","-2,71%"
"14.04.2020","174,62","173,09","175,43","170,83","9,98M","3,33%"
"15.04.2020","165,96","168,70","169,36","164,95","12,12M","-4,96%"
"16.04.2020","162,42","167,11","168,00","159,80","20,31M","-2,13%"
"17.04.2020","169,54","169,65","170,99","164,95","15,38M","4,38%"
"20.04.2020","164,22","167,33","167,43","163,20","10,51M","-3,14%"
"21.04.2020","160,53","162,00","162,57","159,15","10,56M","-2,25%"
"22.04.2020","166,59","164,66","167,70","162,92","14,51M","3,77%"
"23.04.2020","166,38","167,88","170,41","166,21","11,41M","-0,13%"
"24.04.2020","167,32","168,44","168,75","164,01","8,39M","0,56%"
"27.04.2020","171,76","168,65","172,35","168,55","9,90M","2,65%"
"28.04.2020","171,25","175,00","175,01","170,38","8,61M","-0,30%"
"29.04.2020","181,79","176,85","182,25","176,10","12,86M","6,15%"
"30.04.2020","178,72","181,78","181,83","177,65","11,33M","-1,69%"
"01.05.2020","175,57","174,45","179,64","174,27","10,11M","-1,76%"
"04.05.2020","176,15","172,95","176,94","171,72","9,39M","0,33%"
"05.05.2020","178,44","179,09","181,10","178,26","13,51M","1,30%"
"06.05.2020","178,78","179,72","180,51","177,88","8,54M","0,19%"
"07.05.2020","182,72","181,75","184,98","181,71","9,26M","2,20%"
"08.05.2020","185,09","185,03","185,75","183,62","6,48M","1,30%"
"11.05.2020","183,56","183,87","184,62","181,43","8,68M","-0,83%"
"12.05.2020","179,47","183,56","183,99","179,37","8,22M","-2,23%"
"13.05.2020","177,09","178,52","181,09","175,04","13,38M","-1,33%"
"14.05.2020","180,90","175,98","180,99","173,87","9,70M","2,15%"
"15.05.2020","183,49","180,11","184,06","178,87","10,79M","1,43%"
