"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","18,87","18,55","18,88","18,46","4,10M","1,73%"
"11.03.2021","18,55","18,57","18,70","18,48","3,50M","1,26%"
"10.03.2021","18,32","18,12","18,38","17,98","6,88M","1,89%"
"09.03.2021","17,98","18,20","18,20","17,89","6,41M","2,80%"
"08.03.2021","17,49","17,46","17,68","17,43","4,64M","-1,24%"
"05.03.2021","17,71","17,57","17,74","17,37","3,65M","0,85%"
"04.03.2021","17,56","17,67","17,89","17,41","3,83M","-0,40%"
"03.03.2021","17,63","17,53","17,72","17,47","2,71M","0,63%"
"02.03.2021","17,52","17,55","17,64","17,48","1,88M","0,46%"
"01.03.2021","17,44","17,32","17,52","17,29","2,98M","1,51%"
"26.02.2021","17,18","17,42","17,43","17,08","3,33M","-2,28%"
"25.02.2021","17,58","17,93","17,98","17,57","4,05M","-2,01%"
"24.02.2021","17,94","18,05","18,07","17,84","4,93M","-3,13%"
"23.02.2021","18,52","18,23","18,56","18,06","3,51M","0,65%"
"22.02.2021","18,40","18,40","18,63","18,39","3,73M","-0,49%"
"19.02.2021","18,49","18,65","18,66","18,48","2,28M","0,27%"
"18.02.2021","18,44","18,43","18,49","18,28","2,04M","-0,86%"
"17.02.2021","18,60","18,56","18,67","18,47","2,36M","-0,69%"
"16.02.2021","18,73","18,68","18,87","18,66","2,79M","0,16%"
"12.02.2021","18,70","18,50","18,75","18,49","1,87M","0,05%"
"11.02.2021","18,69","18,65","18,70","18,51","2,50M","0,86%"
"10.02.2021","18,53","18,56","18,66","18,44","2,03M","0,32%"
"09.02.2021","18,47","18,48","18,51","18,40","2,16M","0,11%"
"08.02.2021","18,45","18,55","18,58","18,31","5,38M","-0,75%"
"05.02.2021","18,59","18,45","18,67","18,45","6,25M","-1,12%"
"04.02.2021","18,80","18,70","18,83","18,59","4,12M","0,05%"
"03.02.2021","18,79","18,37","18,82","18,35","9,63M","7,13%"
"02.02.2021","17,54","17,44","17,57","17,41","2,58M","0,52%"
"01.02.2021","17,45","17,39","17,50","17,26","3,79M","1,75%"
"29.01.2021","17,15","17,36","17,44","17,01","5,60M","-2,06%"
"28.01.2021","17,51","17,16","17,64","17,13","3,60M","-0,06%"
"27.01.2021","17,52","17,79","17,79","17,45","4,08M","-2,61%"
"26.01.2021","17,99","17,81","18,04","17,76","4,04M","1,18%"
"25.01.2021","17,78","17,43","17,79","17,39","3,16M","1,14%"
"22.01.2021","17,58","17,55","17,64","17,44","1,82M","-0,28%"
"21.01.2021","17,63","17,67","17,70","17,51","2,61M","0,69%"
"20.01.2021","17,51","17,52","17,52","17,32","2,25M","0,29%"
"19.01.2021","17,46","17,30","17,52","17,23","3,90M","0,58%"
"15.01.2021","17,36","17,39","17,40","17,19","2,71M","-1,64%"
"14.01.2021","17,65","17,57","17,74","17,55","3,25M","1,15%"
"13.01.2021","17,45","17,53","17,61","17,39","3,07M","1,69%"
"12.01.2021","17,16","17,19","17,22","17,05","2,88M","-1,55%"
"11.01.2021","17,43","17,33","17,48","17,30","2,63M","-0,63%"
"08.01.2021","17,54","17,60","17,62","17,34","3,65M","-1,07%"
"07.01.2021","17,73","17,92","17,93","17,67","4,45M","0,62%"
"06.01.2021","17,62","17,64","17,81","17,53","3,87M","2,92%"
"05.01.2021","17,12","16,85","17,16","16,84","3,06M","1,12%"
"04.01.2021","16,93","17,04","17,13","16,78","3,70M","2,73%"
"31.12.2020","16,48","16,59","16,63","16,46","4,22M","-1,02%"
"30.12.2020","16,65","16,79","16,80","16,62","2,37M","0,06%"
"29.12.2020","16,64","16,85","16,88","16,61","2,69M","-0,66%"
"28.12.2020","16,75","16,83","16,85","16,72","2,22M","0,24%"
"24.12.2020","16,71","16,71","16,77","16,58","1,06M","0,42%"
"23.12.2020","16,64","16,62","16,75","16,61","2,64M","2,34%"
"22.12.2020","16,26","16,28","16,32","16,20","3,12M","-0,85%"
"21.12.2020","16,40","16,22","16,45","16,10","6,53M","-4,37%"
