"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.03.2021","67,80","65,66","67,81","65,58","2,19M","1,53%"
"11.03.2021","66,78","64,66","66,90","64,55","2,31M","4,79%"
"10.03.2021","63,73","64,44","64,95","63,17","1,76M","0,38%"
"09.03.2021","63,49","63,24","64,46","62,21","2,31M","5,27%"
"08.03.2021","60,31","63,52","63,99","60,20","2,09M","-5,22%"
"05.03.2021","63,63","63,92","64,09","62,12","3,56M","1,39%"
"04.03.2021","62,76","66,41","67,01","62,64","3,67M","-5,04%"
"03.03.2021","66,09","68,48","68,53","65,80","3,39M","-2,71%"
"02.03.2021","67,93","67,99","68,71","67,62","1,89M","0,83%"
"01.03.2021","67,37","65,94","67,70","65,92","1,81M","5,29%"
"26.02.2021","63,99","65,17","65,25","63,91","1,35M","-1,14%"
"25.02.2021","64,72","66,57","67,23","64,57","2,00M","-3,36%"
"24.02.2021","66,97","67,06","67,73","66,37","2,00M","-0,46%"
"23.02.2021","67,28","64,89","67,60","63,75","1,46M","2,06%"
"22.02.2021","65,92","66,67","67,31","65,89","1,77M","-1,99%"
"19.02.2021","67,26","69,23","69,23","66,72","2,81M","-0,50%"
"18.02.2021","67,60","68,80","69,02","67,50","2,22M","-3,64%"
"17.02.2021","70,15","70,64","70,99","68,85","3,28M","-3,60%"
"16.02.2021","72,77","72,89","74,32","72,22","2,14M","-1,44%"
"12.02.2021","73,83","72,04","74,11","72,04","1,70M","1,25%"
"11.02.2021","72,92","71,78","73,25","71,22","1,69M","1,70%"
"10.02.2021","71,70","70,66","72,45","70,24","2,20M","2,71%"
"09.02.2021","69,81","68,33","69,95","68,09","2,02M","2,09%"
"08.02.2021","68,38","67,26","68,38","67,26","1,13M","2,09%"
"05.02.2021","66,98","66,35","67,05","65,79","1,08M","0,76%"
"04.02.2021","66,47","65,40","66,63","64,77","1,33M","2,76%"
"03.02.2021","64,69","65,18","65,87","64,52","1,46M","-1,45%"
"02.02.2021","65,64","65,21","65,85","64,44","2,08M","3,21%"
"01.02.2021","63,60","62,99","63,79","62,82","1,62M","1,53%"
"29.01.2021","62,64","63,96","63,99","62,20","1,28M","-2,03%"
"28.01.2021","63,94","64,12","64,77","63,71","1,12M","0,53%"
"27.01.2021","63,60","64,74","64,79","62,86","2,04M","-2,30%"
"26.01.2021","65,10","65,65","66,14","64,99","1,48M","0,02%"
"25.01.2021","65,09","67,31","67,39","64,41","4,56M","-2,03%"
"22.01.2021","66,44","67,92","68,11","66,41","2,00M","-3,22%"
"21.01.2021","68,65","69,09","69,97","67,80","1,66M","-2,42%"
"20.01.2021","70,35","68,08","70,57","68,01","2,01M","3,33%"
"19.01.2021","68,08","67,74","68,18","67,21","2,12M","1,13%"
"15.01.2021","67,32","69,33","69,52","66,93","1,88M","-2,84%"
"14.01.2021","69,29","69,30","69,59","68,44","1,11M","0,43%"
"13.01.2021","68,99","69,52","69,66","68,50","1,16M","-0,88%"
"12.01.2021","69,60","69,97","70,07","68,88","755,06K","-0,46%"
"11.01.2021","69,92","70,11","70,87","69,56","1,11M","-1,38%"
"08.01.2021","70,90","71,65","72,03","70,10","1,77M","0,00%"
"07.01.2021","70,90","70,27","70,99","68,78","1,22M","1,13%"
"06.01.2021","70,11","70,60","71,12","69,50","2,27M","-2,84%"
"05.01.2021","72,16","69,67","72,95","69,47","2,22M","3,46%"
"04.01.2021","69,75","70,84","71,17","68,70","2,12M","0,24%"
"31.12.2020","69,58","69,45","69,75","68,75","891,93K","0,12%"
"30.12.2020","69,50","67,62","69,68","67,53","1,20M","2,95%"
"29.12.2020","67,51","68,52","68,64","67,38","605,78K","-1,01%"
"28.12.2020","68,20","68,44","68,87","67,55","856,19K","0,81%"
"24.12.2020","67,65","68,18","68,29","67,17","370,63K","-0,06%"
"23.12.2020","67,69","67,73","68,77","67,64","821,04K","0,86%"
"22.12.2020","67,11","67,28","67,44","66,30","1,00M","0,03%"
"21.12.2020","67,09","67,63","67,82","66,73","1,79M","-3,15%"
"18.12.2020","69,27","70,65","70,79","69,13","1,77M","-1,95%"
"17.12.2020","70,65","71,57","72,40","70,11","1,05M","-0,21%"
"16.12.2020","70,80","69,41","71,00","69,35","2,59M","2,77%"
"15.12.2020","68,89","69,07","69,11","68,24","1,41M","0,97%"
"14.12.2020","68,23","70,15","70,15","67,97","1,84M","-2,92%"
"11.12.2020","70,28","70,05","70,72","69,93","805,20K","-0,57%"
"10.12.2020","70,68","68,53","71,03","68,05","2,20M","2,39%"
"09.12.2020","69,03","69,85","70,97","68,37","1,21M","0,09%"
"08.12.2020","68,97","67,92","69,20","67,62","1,38M","1,43%"
"07.12.2020","68,00","68,89","69,05","67,66","1,43M","-0,07%"
"04.12.2020","68,05","68,85","69,18","68,01","1,77M","-1,86%"
"03.12.2020","69,34","69,28","69,68","68,81","1,45M","0,20%"
"02.12.2020","69,20","69,12","69,50","68,65","1,16M","-1,21%"
"01.12.2020","70,05","69,82","70,53","69,19","2,35M","1,58%"
"30.11.2020","68,96","70,02","70,02","68,74","3,77M","2,63%"
"27.11.2020","67,19","66,61","68,03","66,49","1,34M","2,39%"
"25.11.2020","65,62","64,84","65,74","64,74","1,86M","0,37%"
"24.11.2020","65,38","64,11","65,55","63,82","2,86M","6,36%"
"23.11.2020","61,47","62,85","62,85","61,33","1,62M","-0,76%"
"20.11.2020","61,94","62,45","62,96","61,94","870,21K","-0,94%"
"19.11.2020","62,53","61,59","62,57","61,19","1,23M","1,31%"
"18.11.2020","61,72","61,87","62,47","61,55","982,63K","0,37%"
"17.11.2020","61,49","61,71","61,72","60,72","1,58M","-0,98%"
"16.11.2020","62,10","62,05","62,23","61,33","1,22M","-0,02%"
"13.11.2020","62,11","61,41","62,11","61,15","1,06M","1,84%"
"12.11.2020","60,99","61,61","61,95","60,90","961,89K","-0,33%"
"11.11.2020","61,19","60,93","61,83","60,74","1,87M","-0,20%"
"10.11.2020","61,31","62,96","63,52","61,08","2,68M","-5,72%"
"09.11.2020","65,03","65,28","66,43","65,00","3,13M","1,91%"
"06.11.2020","63,81","62,93","63,90","62,51","1,44M","1,11%"
"05.11.2020","63,11","62,17","63,24","61,74","2,23M","3,05%"
"04.11.2020","61,24","59,36","61,50","59,17","2,74M","6,12%"
"03.11.2020","57,71","57,47","58,10","57,02","993,06K","1,46%"
"02.11.2020","56,88","57,47","58,25","56,51","2,07M","-1,20%"
"30.10.2020","57,57","57,73","57,94","56,81","2,18M","-2,26%"
"29.10.2020","58,90","58,25","59,11","57,89","1,72M","1,83%"
"28.10.2020","57,84","57,52","58,42","57,41","3,33M","-2,84%"
"27.10.2020","59,53","59,02","59,87","58,64","2,35M","0,68%"
"26.10.2020","59,13","58,39","59,20","58,16","2,04M","0,02%"
"23.10.2020","59,12","58,60","59,26","58,22","1,61M","1,93%"
"22.10.2020","58,00","58,06","58,66","57,02","1,94M","1,36%"
"21.10.2020","57,22","55,65","57,84","55,65","2,77M","1,94%"
"20.10.2020","56,13","57,47","57,66","55,72","3,76M","-1,44%"
"19.10.2020","56,95","58,07","58,81","56,94","2,79M","-1,79%"
"16.10.2020","57,99","59,75","60,13","57,78","3,83M","-4,51%"
"15.10.2020","60,73","60,13","60,98","59,79","1,88M","-1,03%"
"14.10.2020","61,36","62,86","62,89","61,19","1,57M","-2,12%"
"13.10.2020","62,69","62,15","63,01","61,83","1,28M","1,85%"
"12.10.2020","61,55","61,60","61,88","60,95","1,76M","1,02%"
"09.10.2020","60,93","60,81","61,95","60,57","2,45M","0,23%"
"08.10.2020","60,79","61,55","61,59","60,57","2,56M","-0,10%"
"07.10.2020","60,85","62,23","62,26","60,65","2,95M","-1,66%"
"06.10.2020","61,88","63,70","64,00","61,76","2,86M","-2,80%"
"05.10.2020","63,66","62,56","64,00","62,36","1,73M","1,86%"
"02.10.2020","62,50","62,32","63,62","62,25","1,53M","-1,67%"
"01.10.2020","63,56","65,65","65,79","63,30","2,59M","-2,59%"
"30.09.2020","65,25","64,77","65,46","64,58","1,58M","0,97%"
"29.09.2020","64,62","63,95","64,77","63,77","1,91M","0,64%"
"28.09.2020","64,21","64,30","64,53","63,64","1,95M","1,39%"
"25.09.2020","63,33","62,04","63,45","61,53","3,20M","2,59%"
"24.09.2020","61,73","63,39","63,78","61,67","3,94M","-4,74%"
"23.09.2020","64,80","67,75","69,60","64,53","8,34M","-1,91%"
"22.09.2020","66,06","60,19","66,26","59,01","11,00M","11,80%"
"21.09.2020","59,09","59,17","59,62","58,72","2,68M","-3,08%"
"18.09.2020","60,97","60,92","61,50","60,14","2,13M","0,10%"
